51.0,51_111,0.005,3
0.0,174_199,0.005,0
23.0,22_182,0.005,1
21.0,A59,0.005,2
57.0,12_105,0.005,7
41.0,A42,0.005,7
41.0,151_188,0.005,3
28.0,A92,0.005,1
16.0,88_189,0.005,1
0.0,176_191,0.005,0
0.0,83_196,0.005,0
0.0,41_197,0.005,0
25.0,115_164,0.005,3
42.0,A19,0.005,5
20.0,59_176,0.005,1
40.0,111_174,0.005,3
29.0,34_135,0.005,2
21.0,A18,0.005,0
28.0,A34,0.005,2
19.0,A20,0.005,3
22.0,A24,0.005,4
22.0,A30,0.005,1
48.0,47_155,0.005,3
89.0,53_116,0.005,7
29.0,A78,0.005,1
64.0,64_123,0.005,6
19.0,A74,0.005,0
46.0,80_106,0.005,3
28.0,A29,0.005,3
74.0,A53,0.005,7
31.0,77_153,0.005,2
35.0,102_178,0.005,2
21.0,A27,0.005,1
25.0,A5,0.005,4
30.0,A17,0.005,2
58.0,139_156,0.005,6
44.0,126_151,0.005,3
55.0,123_180,0.005,4
27.0,A49,0.005,5
19.0,A99,0.005,3
35.0,45_102,0.005,2
25.0,0_115,0.005,4
21.0,A83,0.005,0
24.0,A71,0.005,0
64.0,108_118,0.005,6
80.0,53_107,0.005,7
41.0,12_184,0.005,3
26.0,A1,0.005,2
28.0,156_185,0.005,2
29.0,87_147,0.005,1
45.0,A47,0.005,3
48.0,A51,0.005,4
46.0,A95,0.005,4
20.0,63_149,0.005,1
34.0,A84,0.005,10
24.0,A75,0.005,0
31.0,78_110,0.005,1
46.0,106_162,0.005,3
0.0,189_192,0.005,0
0.0,17_198,0.005,0
34.0,68_143,0.005,3
21.0,A54,0.005,2
0.0,187_195,0.005,0
34.0,143_175,0.005,2
34.0,17_169,0.005,2
21.0,A62,0.005,0
32.0,A77,0.005,6
35.0,143_154,0.005,2
18.0,27_172,0.005,1
19.0,A3,0.005,1
18.0,37_165,0.005,1
19.0,A85,0.005,0
18.0,30_186,0.005,1
24.0,54_173,0.005,1
20.0,1_183,0.005,1
20.0,A11,0.005,2
39.0,43_160,0.005,3
27.0,A22,0.005,3
29.0,49_167,0.005,4
49.0,95_146,0.005,3
85.0,107_114,0.005,6
32.0,177_181,0.005,2
20.0,A40,0.005,1
44.0,A80,0.005,3
0.0,135_194,0.005,0
24.0,A88,0.005,3
49.0,19_158,0.005,4
35.0,A45,0.005,2
48.0,145_166,0.005,3
22.0,A41,0.005,2
52.0,12_179,0.005,3
20.0,A61,0.005,1
0.0,146_193,0.005,0
29.0,A87,0.005,2
36.0,84_159,0.005,5
66.0,118_121,0.005,6
36.0,A16,0.005,3
58.0,118_170,0.005,4
35.0,159_187,0.005,2
0.0,175_190,0.005,0
