from , to, time
178_209,178_209,46000.0
178_209,209_322,46000.0
225_232,225_232,46000.0
225_232,232_281,46000.0
225_232,211_241,46000.0
247_309,247_309,46000.0
247_309,247_263,46000.0
247_309,309_312,46000.0
247_309,128_247,46000.0
265_318,265_318,46000.0
249_320,249_320,46000.0
249_320,96_249,46000.0
A59,A59,46000.0
234_298,234_298,46000.0
234_298,234_285,46000.0
86_304,86_304,46000.0
86_304,272_303,46000.0
289_315,289_315,46000.0
289_315,119_289,46000.0
289_315,119_326,46000.0
289_315,36_119,46000.0
264_317,264_317,46000.0
119_289,289_315,46000.0
119_289,119_289,46000.0
119_289,119_326,46000.0
119_289,36_119,46000.0
29_198,29_198,46000.0
29_198,198_291,46000.0
6_297,6_297,46000.0
6_297,297_325,46000.0
233_302,233_302,46000.0
234_301,234_301,46000.0
54_253,54_253,46000.0
54_253,A54,46000.0
54_253,253_266,46000.0
299_324,299_324,46000.0
299_324,A92,46000.0
299_324,92_273,46000.0
299_324,273_299,46000.0
84_163,84_163,46000.0
234_285,234_298,46000.0
234_285,234_285,46000.0
191_218,191_218,46000.0
191_218,218_306,46000.0
191_218,3_191,46000.0
32_286,32_286,46000.0
32_286,A32,46000.0
87_231,87_231,46000.0
87_231,87_262,46000.0
87_231,231_327,46000.0
144_296,144_296,46000.0
246_254,246_254,46000.0
246_254,254_287,46000.0
246_254,254_323,46000.0
A89,A89,46000.0
A89,89_143,46000.0
A89,143_329,46000.0
140_183,140_183,46000.0
255_279,255_279,46000.0
144_275,144_275,46000.0
247_263,247_309,46000.0
247_263,247_263,46000.0
247_263,309_312,46000.0
247_263,128_247,46000.0
198_291,29_198,46000.0
198_291,198_291,46000.0
0_144,0_144,46000.0
A54,54_253,46000.0
A54,A54,46000.0
175_220,175_220,46000.0
282_294,282_294,46000.0
282_294,259_282,46000.0
254_287,246_254,46000.0
254_287,254_287,46000.0
254_287,254_323,46000.0
259_282,282_294,46000.0
259_282,259_282,46000.0
145_321,145_321,46000.0
145_321,8_145,46000.0
208_313,208_313,46000.0
208_313,184_258,46000.0
208_313,184_208,46000.0
272_303,86_304,46000.0
272_303,272_303,46000.0
218_306,191_218,46000.0
218_306,218_306,46000.0
218_306,3_191,46000.0
96_249,249_320,46000.0
96_249,96_249,46000.0
A44,A44,46000.0
A44,44_311,46000.0
184_258,208_313,46000.0
184_258,184_258,46000.0
184_258,184_208,46000.0
228_328,228_328,46000.0
228_328,187_228,46000.0
116_216,116_216,46000.0
116_216,216_305,46000.0
116_216,A92,46000.0
116_216,92_273,46000.0
116_216,92_116,46000.0
116_216,116_233,46000.0
183_316,183_316,46000.0
216_305,116_216,46000.0
216_305,216_305,46000.0
216_305,A92,46000.0
216_305,92_273,46000.0
216_305,92_116,46000.0
216_305,116_233,46000.0
139_173,139_173,46000.0
A92,299_324,46000.0
A92,116_216,46000.0
A92,216_305,46000.0
A92,A92,46000.0
A92,92_273,46000.0
A92,92_116,46000.0
A92,116_233,46000.0
