11.0,A21,0.005,0
6.0,A4,0.005,1
9.0,A33,0.005,0
9.0,A71,0.005,0
10.0,A98,0.005,1
10.0,A14,0.005,0
8.0,A60,0.005,0
10.0,A51,0.005,0
9.0,A68,0.005,0
13.0,A29,0.005,0
11.0,A44,0.005,0
10.0,A61,0.005,0
11.0,A55,0.005,1
10.0,A42,0.005,1
11.0,A17,0.005,0
10.0,A63,0.005,0
10.0,A90,0.005,0
17.0,A9,0.005,2
7.0,A15,0.005,0
11.0,A18,0.005,0
7.0,A94,0.005,0
0.0,12_105,0.005,0
5.0,A3,0.005,1
0.0,80_106,0.005,0
9.0,A54,0.005,1
7.0,A79,0.005,0
6.0,A12,0.005,2
7.0,A0,0.005,1
11.0,A16,0.005,0
12.0,A48,0.005,0
11.0,A41,0.005,1
0.0,61_103,0.005,0
12.0,A81,0.005,3
11.0,A82,0.005,1
0.0,95_104,0.005,0
12.0,A67,0.005,2
9.0,A84,0.005,1
8.0,A70,0.005,0
12.0,A1,0.005,0
10.0,A23,0.005,0
0.0,6_100,0.005,0
9.0,A97,0.005,0
8.0,A72,0.005,1
10.0,A93,0.005,0
10.0,A88,0.005,0
12.0,A59,0.005,1
11.0,A47,0.005,0
10.0,A19,0.005,1
7.0,A56,0.005,0
9.0,A83,0.005,0
10.0,A20,0.005,1
11.0,A52,0.005,0
9.0,A40,0.005,0
7.0,A73,0.005,1
11.0,A76,0.005,1
0.0,53_107,0.005,0
9.0,A24,0.005,2
10.0,A6,0.005,0
8.0,A37,0.005,1
10.0,A2,0.005,0
10.0,A96,0.005,0
10.0,A10,0.005,2
17.0,A66,0.005,2
0.0,45_102,0.005,0
8.0,A11,0.005,1
6.0,A99,0.005,0
9.0,A45,0.005,0
4.0,A25,0.005,0
10.0,A22,0.005,0
10.0,A27,0.005,0
12.0,A78,0.005,0
9.0,A95,0.005,0
9.0,A85,0.005,0
9.0,A35,0.005,0
10.0,A86,0.005,0
5.0,A75,0.005,0
11.0,A53,0.005,0
10.0,A31,0.005,2
10.0,A13,0.005,0
12.0,A5,0.005,2
9.0,A32,0.005,2
6.0,A49,0.005,0
9.0,A36,0.005,0
12.0,A43,0.005,1
3.0,A38,0.005,0
10.0,A89,0.005,1
0.0,64_108,0.005,0
10.0,A77,0.005,1
8.0,A62,0.005,0
0.0,98_101,0.005,0
10.0,A80,0.005,0
11.0,A92,0.005,0
8.0,A57,0.005,0
10.0,A8,0.005,3
8.0,A64,0.005,0
11.0,A74,0.005,0
12.0,A34,0.005,1
12.0,A87,0.005,1
5.0,A30,0.005,0
0.0,41_109,0.005,0
