56.0,A29
24.0,165_186
28.0,6_107
20.0,58_124
0.0,86_223
27.0,A32
15.0,A16
22.0,88_103
23.0,89_143
22.0,36_119
61.0,29_136
11.0,A37
26.0,178_209
21.0,12_214
0.0,187_228
14.0,8_145
52.0,120_168
27.0,A61
0.0,149_221
28.0,53_101
48.0,3_191
25.0,A0
15.0,A54
38.0,78_162
17.0,A21
32.0,A78
17.0,17_156
51.0,170_201
41.0,191_218
19.0,A84
29.0,53_117
14.0,A9
53.0,140_183
29.0,A89
21.0,116_205
0.0,175_220
18.0,A17
20.0,A35
18.0,62_189
23.0,A86
22.0,187_200
25.0,A74
0.0,33_227
55.0,29_104
35.0,184_208
32.0,147_178
14.0,A44
57.0,136_204
17.0,A96
0.0,182_224
32.0,152_206
62.0,177_197
0.0,213_226
61.0,29_198
62.0,136_177
24.0,89_207
46.0,120_140
33.0,71_152
20.0,190_203
18.0,61_194
17.0,84_163
14.0,A33
21.0,103_149
20.0,74_181
13.0,186_217
18.0,A87
15.0,A59
22.0,A20
19.0,90_128
23.0,116_216
26.0,92_116
24.0,115_187
30.0,139_173
28.0,A92
27.0,70_174
35.0,166_175
12.0,124_211
21.0,86_190
0.0,186_222
39.0,78_184
26.0,A6
19.0,A60
19.0,60_195
24.0,32_130
34.0,208_219
21.0,A73
25.0,138_179
18.0,A18
14.0,16_212
26.0,125_157
19.0,135_160
19.0,60_202
27.0,152_210
26.0,70_182
0.0,211_225
12.0,35_213
34.0,A71
18.0,64_155
19.0,0_144
0.0,117_229
