from , to, time
167_219,167_219,30000.0
206_231,206_231,30000.0
168_193,168_193,30000.0
137_245,137_245,30000.0
137_245,114_137,30000.0
A30,A30,30000.0
3_145,3_145,30000.0
126_217,126_217,30000.0
170_242,170_242,30000.0
170_242,146_170,30000.0
147_237,147_237,30000.0
44_191,44_191,30000.0
44_191,A44,30000.0
A96,A96,30000.0
A96,96_227,30000.0
118_123,118_123,30000.0
7_220,7_220,30000.0
7_220,A7,30000.0
126_187,126_187,30000.0
192_215,192_215,30000.0
192_215,167_192,30000.0
192_215,215_241,30000.0
32_206,32_206,30000.0
A17,A17,30000.0
A17,17_225,30000.0
A17,225_248,30000.0
110_147,110_147,30000.0
A7,7_220,30000.0
A7,A7,30000.0
A73,A73,30000.0
A47,A47,30000.0
64_112,64_112,30000.0
167_192,192_215,30000.0
167_192,167_192,30000.0
167_192,215_241,30000.0
207_235,207_235,30000.0
167_200,167_200,30000.0
120_184,120_184,30000.0
139_157,139_157,30000.0
209_244,209_244,30000.0
209_244,128_209,30000.0
68_247,68_247,30000.0
68_247,A68,30000.0
A36,A36,30000.0
126_232,126_232,30000.0
A60,A60,30000.0
130_238,130_238,30000.0
130_238,86_130,30000.0
A31,A31,30000.0
17_225,A17,30000.0
17_225,17_225,30000.0
17_225,225_248,30000.0
215_241,192_215,30000.0
215_241,167_192,30000.0
215_241,215_241,30000.0
20_233,20_233,30000.0
217_229,217_229,30000.0
225_248,A17,30000.0
225_248,17_225,30000.0
225_248,225_248,30000.0
A50,A50,30000.0
38_246,38_246,30000.0
38_246,38_195,30000.0
38_246,A38,30000.0
A12,A12,30000.0
A12,132_175,30000.0
121_182,121_182,30000.0
128_209,209_244,30000.0
128_209,128_209,30000.0
216_240,216_240,30000.0
216_240,159_196,30000.0
216_240,216_223,30000.0
216_240,196_216,30000.0
215_234,215_234,30000.0
A97,A97,30000.0
168_230,168_230,30000.0
44_189,44_189,30000.0
95_207,95_207,30000.0
159_196,216_240,30000.0
159_196,159_196,30000.0
159_196,216_223,30000.0
159_196,196_216,30000.0
58_154,58_154,30000.0
58_154,A58,30000.0
58_154,154_249,30000.0
59_180,59_180,30000.0
59_180,A59,30000.0
38_195,38_246,30000.0
38_195,38_195,30000.0
38_195,A38,30000.0
A51,A51,30000.0
A99,A99,30000.0
181_203,181_203,30000.0
88_128,88_128,30000.0
90_243,90_243,30000.0
90_243,A90,30000.0
54_178,54_178,30000.0
114_137,137_245,30000.0
114_137,114_137,30000.0
105_205,105_205,30000.0
A91,A91,30000.0
27_201,27_201,30000.0
216_223,216_240,30000.0
216_223,159_196,30000.0
216_223,216_223,30000.0
216_223,196_216,30000.0
55_208,55_208,30000.0
134_211,134_211,30000.0
99_156,99_156,30000.0
A20,A20,30000.0
A20,20_197,30000.0
32_136,32_136,30000.0
A38,38_246,30000.0
A38,38_195,30000.0
A38,A38,30000.0
A80,A80,30000.0
208_239,208_239,30000.0
114_122,114_122,30000.0
A44,44_191,30000.0
A44,A44,30000.0
A89,A89,30000.0
A89,89_139,30000.0
205_224,205_224,30000.0
44_179,44_179,30000.0
43_151,43_151,30000.0
120_204,120_204,30000.0
41_126,41_126,30000.0
A32,A32,30000.0
132_175,A12,30000.0
132_175,132_175,30000.0
170_226,170_226,30000.0
86_130,130_238,30000.0
86_130,86_130,30000.0
A58,58_154,30000.0
A58,A58,30000.0
A58,154_249,30000.0
A90,90_243,30000.0
A90,A90,30000.0
A59,59_180,30000.0
A59,A59,30000.0
96_227,A96,30000.0
96_227,96_227,30000.0
196_216,216_240,30000.0
196_216,159_196,30000.0
196_216,216_223,30000.0
196_216,196_216,30000.0
169_186,169_186,30000.0
A56,A56,30000.0
209_236,209_236,30000.0
89_139,A89,30000.0
89_139,89_139,30000.0
20_197,A20,30000.0
20_197,20_197,30000.0
A68,68_247,30000.0
A68,A68,30000.0
A0,A0,30000.0
146_170,170_242,30000.0
146_170,146_170,30000.0
117_168,117_168,30000.0
154_249,58_154,30000.0
154_249,A58,30000.0
154_249,154_249,30000.0
