from , to, time
A31,A31,18000.0
44_134,44_134,18000.0
A99,A99,18000.0
A99,99_156,18000.0
A17,A17,18000.0
132_149,132_149,18000.0
58_154,58_154,18000.0
58_154,A58,18000.0
12_132,12_132,18000.0
12_132,A12,18000.0
86_130,86_130,18000.0
99_156,A99,18000.0
99_156,99_156,18000.0
64_112,64_112,18000.0
149_161,149_161,18000.0
47_104,47_104,18000.0
47_104,A47,18000.0
15_159,15_159,18000.0
15_159,A15,18000.0
A68,A68,18000.0
A80,A80,18000.0
41_126,41_126,18000.0
41_126,126_187,18000.0
41_126,126_176,18000.0
A7,A7,18000.0
A43,A43,18000.0
A59,A59,18000.0
A59,59_180,18000.0
A58,58_154,18000.0
A58,A58,18000.0
126_141,126_141,18000.0
126_141,141_158,18000.0
54_178,54_178,18000.0
54_178,A54,18000.0
132_175,132_175,18000.0
132_175,175_183,18000.0
120_184,120_184,18000.0
120_184,120_160,18000.0
120_184,19_120,18000.0
A6,A6,18000.0
43_151,43_151,18000.0
30_138,30_138,18000.0
A96,A96,18000.0
A39,A39,18000.0
A1,A1,18000.0
A1,1_188,18000.0
32_136,32_136,18000.0
32_136,136_143,18000.0
A51,A51,18000.0
141_173,141_173,18000.0
136_143,32_136,18000.0
136_143,136_143,18000.0
156_167,156_167,18000.0
73_162,73_162,18000.0
A30,A30,18000.0
44_179,44_179,18000.0
121_182,121_182,18000.0
121_182,39_121,18000.0
A4,A4,18000.0
A50,A50,18000.0
88_128,88_128,18000.0
88_128,118_123,18000.0
A90,A90,18000.0
114_137,114_137,18000.0
114_137,137_181,18000.0
114_137,35_114,18000.0
A12,12_132,18000.0
A12,A12,18000.0
32_152,32_152,18000.0
A54,54_178,18000.0
A54,A54,18000.0
128_153,128_153,18000.0
A44,A44,18000.0
A44,44_189,18000.0
1_110,1_110,18000.0
118_123,88_128,18000.0
118_123,118_123,18000.0
62_169,62_169,18000.0
62_169,169_186,18000.0
137_181,114_137,18000.0
137_181,137_181,18000.0
137_181,35_114,18000.0
35_114,114_137,18000.0
35_114,137_181,18000.0
35_114,35_114,18000.0
4_155,4_155,18000.0
114_122,114_122,18000.0
120_160,120_184,18000.0
120_160,120_160,18000.0
120_160,19_120,18000.0
A47,47_104,18000.0
A47,A47,18000.0
126_187,41_126,18000.0
126_187,126_187,18000.0
126_187,126_176,18000.0
175_183,132_175,18000.0
175_183,175_183,18000.0
1_188,A1,18000.0
1_188,1_188,18000.0
A91,A91,18000.0
A73,A73,18000.0
A26,A26,18000.0
110_147,110_147,18000.0
53_177,53_177,18000.0
53_177,A53,18000.0
139_185,139_185,18000.0
139_185,89_139,18000.0
141_158,126_141,18000.0
141_158,141_158,18000.0
A60,A60,18000.0
169_186,62_169,18000.0
169_186,169_186,18000.0
39_121,121_182,18000.0
39_121,39_121,18000.0
A38,A38,18000.0
A20,A20,18000.0
117_168,117_168,18000.0
117_168,168_172,18000.0
100_164,100_164,18000.0
A89,A89,18000.0
126_176,41_126,18000.0
126_176,126_187,18000.0
126_176,126_176,18000.0
A53,53_177,18000.0
A53,A53,18000.0
A36,A36,18000.0
89_139,139_185,18000.0
89_139,89_139,18000.0
146_170,146_170,18000.0
A55,A55,18000.0
A56,A56,18000.0
40_105,40_105,18000.0
A97,A97,18000.0
59_180,A59,18000.0
59_180,59_180,18000.0
A32,A32,18000.0
43_129,43_129,18000.0
39_174,39_174,18000.0
A0,A0,18000.0
A27,A27,18000.0
129_163,129_163,18000.0
3_145,3_145,18000.0
168_172,117_168,18000.0
168_172,168_172,18000.0
A62,A62,18000.0
19_120,120_184,18000.0
19_120,120_160,18000.0
19_120,19_120,18000.0
139_157,139_157,18000.0
A15,15_159,18000.0
A15,A15,18000.0
A95,A95,18000.0
44_189,A44,18000.0
44_189,44_189,18000.0
