35.0,106_162,0.005,3
21.0,A18,0.005,0
24.0,A22,0.005,2
22.0,A41,0.005,2
75.0,53_107,0.005,7
29.0,A19,0.005,5
24.0,A5,0.005,4
34.0,80_168,0.005,3
61.0,108_118,0.005,4
43.0,A95,0.005,4
18.0,A99,0.005,2
20.0,A61,0.005,1
34.0,A42,0.005,6
52.0,139_156,0.005,5
81.0,107_114,0.005,6
31.0,45_102,0.005,1
37.0,42_126,0.005,3
34.0,19_158,0.005,4
27.0,A34,0.005,2
28.0,145_166,0.005,3
24.0,A75,0.005,0
46.0,47_155,0.005,3
22.0,A16,0.005,1
0.0,54_173,0.005,0
35.0,43_160,0.005,3
24.0,143_154,0.005,1
31.0,A84,0.005,9
17.0,A3,0.005,1
23.0,A1,0.005,1
28.0,A29,0.005,3
20.0,A24,0.005,3
26.0,A78,0.005,1
20.0,A4,0.005,1
0.0,143_175,0.005,0
25.0,A87,0.005,2
56.0,76_157,0.005,7
43.0,A47,0.005,3
19.0,A11,0.005,1
30.0,137_161,0.005,2
0.0,169_171,0.005,0
19.0,A54,0.005,1
22.0,68_143,0.005,2
19.0,A30,0.005,0
59.0,64_123,0.005,4
21.0,A27,0.005,0
18.0,115_164,0.005,1
20.0,A97,0.005,0
0.0,111_174,0.005,0
27.0,A77,0.005,6
20.0,A40,0.005,1
29.0,78_110,0.005,1
22.0,16_152,0.005,1
40.0,111_124,0.005,2
0.0,16_177,0.005,0
25.0,A92,0.005,1
26.0,92_148,0.005,1
23.0,A88,0.005,2
19.0,49_167,0.005,1
24.0,87_147,0.005,1
39.0,A51,0.005,3
0.0,27_172,0.005,0
35.0,126_151,0.005,2
37.0,A80,0.005,3
59.0,118_121,0.005,4
53.0,A12,0.005,5
0.0,118_170,0.005,0
23.0,A17,0.005,1
37.0,80_106,0.005,3
83.0,53_116,0.005,7
21.0,A49,0.005,3
34.0,19_145,0.005,3
27.0,77_153,0.005,2
17.0,37_165,0.005,1
0.0,12_179,0.005,0
53.0,12_105,0.005,5
23.0,A71,0.005,0
19.0,A74,0.005,0
20.0,63_149,0.005,1
29.0,A45,0.005,1
32.0,66_138,0.005,2
20.0,A56,0.005,0
21.0,0_115,0.005,2
24.0,84_159,0.005,4
43.0,47_113,0.005,3
21.0,A83,0.005,0
45.0,95_146,0.005,3
43.0,43_132,0.005,9
18.0,A59,0.005,1
46.0,104_128,0.005,4
21.0,A62,0.005,0
69.0,A53,0.005,7
28.0,34_135,0.005,2
39.0,51_111,0.005,2
19.0,A20,0.005,3
19.0,A85,0.005,0
30.0,A98,0.005,4
0.0,102_178,0.005,0
43.0,36_137,0.005,4
0.0,59_176,0.005,0
18.0,17_169,0.005,1
