from , to, weight, time
A42,A32,0.0016749752098652768,6000.0
A95,95_104,0.0014910616402098692,6000.0
A51,51_111,0.0012211202275368863,6000.0
A87,A24,0.001622960645512448,6000.0
A24,A87,0.001622960645512448,6000.0
A98,A84,0.0017099468748713652,6000.0
A98,98_101,0.0014910616402098694,6000.0
A77,A29,0.0013488276639507693,6000.0
A77,A72,0.001680502178285358,6000.0
A66,A67,0.0017902934115865093,6000.0
95_104,A95,0.999,6000.0
A94,A48,0.001459976820203679,6000.0
A99,A22,0.0014825997506760222,6000.0
A59,A37,0.0017577122038503932,6000.0
47_113,A47,0.999,6000.0
A20,A19,0.001820567667330543,6000.0
A84,A98,0.0017099468748713652,6000.0
A84,98_101,0.0010699656916152867,6000.0
78_110,A78,0.999,6000.0
A81,A12,0.0016867207359167378,6000.0
A81,12_105,0.001344658593987516,6000.0
A12,A81,0.0016867207359167378,6000.0
A12,A5,0.0017324543520634435,6000.0
A12,12_105,0.0014910616402098692,6000.0
A80,80_106,0.0014910616402098696,6000.0
53_116,107_114,0.999,6000.0
53_116,A53,0.999,6000.0
53_116,53_107,0.999,6000.0
A19,A20,0.001820567667330543,6000.0
A29,A77,0.0013488276639507693,6000.0
A73,A3,0.0016402262967585752,6000.0
98_101,A98,0.999,6000.0
98_101,A84,0.0010699656916152867,6000.0
64_108,108_118,0.0012211202275368863,6000.0
64_108,A64,0.9990097429631685,6000.0
107_114,53_116,0.999,6000.0
107_114,A53,0.999,6000.0
107_114,53_107,0.999,6000.0
A37,A59,0.0017577122038503932,6000.0
A43,A32,0.0011665207561456258,6000.0
A43,A76,0.0016663028518903904,6000.0
A72,A77,0.001680502178285358,6000.0
A22,A99,0.0014825997506760222,6000.0
A53,53_116,0.0012211202275368863,6000.0
A53,107_114,0.0012211202275368865,6000.0
A53,53_107,0.001491061640209869,6000.0
51_111,A51,0.999,6000.0
A48,A94,0.001459976820203679,6000.0
108_118,64_108,0.999,6000.0
108_118,A64,0.9942590945347155,6000.0
A47,47_113,0.0012211202275368865,6000.0
A3,A73,0.0016402262967585752,6000.0
80_106,A80,0.999,6000.0
A34,A55,0.001608122518368413,6000.0
A5,A12,0.0017324543520634435,6000.0
A5,12_105,0.001434114164322139,6000.0
A78,78_110,0.0012211202275368863,6000.0
A32,A42,0.0016749752098652768,6000.0
A32,A43,0.0011665207561456258,6000.0
53_107,53_116,0.0012211202275368863,6000.0
53_107,107_114,0.0012211202275368863,6000.0
53_107,A53,0.999,6000.0
12_105,A81,0.0015431835541289103,6000.0
12_105,A12,0.999,6000.0
12_105,A5,0.0016785153221011023,6000.0
36_117,A36,0.999,6000.0
A55,A34,0.001608122518368413,6000.0
A36,36_117,0.0012211202275368863,6000.0
A76,A43,0.0016663028518903904,6000.0
A45,45_102,0.0014910616402098694,6000.0
A64,64_108,0.0014910616402098692,6000.0
A64,108_118,0.0012211202275368865,6000.0
45_102,A45,0.999,6000.0
A67,A66,0.0017902934115865093,6000.0
