from , to, weight, time
226_237,208_226,0.06768620191970649,30000.0
104_134,134_144,0.9946589008795526,30000.0
32_220,32_230,-0.9626891362755287,30000.0
A9,123_235,-0.014889240800808067,30000.0
A9,9_123,0.9827466713065995,30000.0
A90,194_210,0.9924149867694514,30000.0
A90,90_194,0.9837630979341184,30000.0
A62,62_228,0.9958275611073188,30000.0
56_189,201_225,0.03391403998162816,30000.0
35_206,A35,0.9886022967129909,30000.0
179_181,181_233,0.1997241178672795,30000.0
179_181,96_179,0.9955310007701796,30000.0
4_198,A4,0.9926013488260388,30000.0
4_198,217_238,-0.1488636958665015,30000.0
4_198,198_217,0.9833213838955066,30000.0
74_185,A74,0.995274956350921,30000.0
74_185,119_239,-0.04671262794246077,30000.0
74_185,185_224,0.26738379236326165,30000.0
92_125,125_170,0.9954465116136894,30000.0
92_125,92_164,0.9950400769135859,30000.0
A74,74_185,0.9942751546238406,30000.0
A74,119_239,-0.10140211952968342,30000.0
A74,185_224,-0.22820400109761171,30000.0
194_210,A90,0.9961995602464274,30000.0
194_210,90_194,0.9969441868240867,30000.0
32_230,32_220,-0.7519867249364777,30000.0
121_204,121_139,0.9273924032718623,30000.0
121_204,204_218,0.9954116027386269,30000.0
187_209,154_187,0.9820234746964625,30000.0
187_209,77_142,0.8164661449333938,30000.0
188_193,A35,-0.004864785242393761,30000.0
188_193,35_188,0.9976820637811258,30000.0
208_234,166_208,0.01779517100225648,30000.0
208_234,106_166,-0.8238623525473274,30000.0
152_177,177_223,0.9972538693326661,30000.0
166_208,208_234,-0.002438132007379417,30000.0
166_208,106_166,0.9918753228073564,30000.0
166_208,166_195,-0.03411980010503745,30000.0
166_208,208_226,-0.007882459290065574,30000.0
121_229,121_139,0.9985441971322158,30000.0
175_215,31_175,0.9874197707483598,30000.0
180_190,190_236,0.034728760616965955,30000.0
180_190,190_213,0.9925210932402693,30000.0
106_166,208_234,-0.7194149120392005,30000.0
106_166,166_208,0.9694637644581673,30000.0
106_166,166_195,1.0069023721334605,30000.0
106_166,208_226,0.12798230389171467,30000.0
90_194,A90,0.9930406303334256,30000.0
90_194,194_210,0.9989311515583801,30000.0
166_195,166_208,-0.023341377999252972,30000.0
166_195,106_166,1.0149006664339313,30000.0
190_236,180_190,7.721155013074412E-5,30000.0
190_236,190_213,0.6523739108481725,30000.0
A4,4_198,0.99508107465702,30000.0
A4,217_238,-0.005947868660761781,30000.0
A4,198_217,0.9943592192490847,30000.0
84_182,A84,0.9889634849508859,30000.0
84_182,182_232,0.0010268462475308236,30000.0
123_235,A9,-0.15723562036885588,30000.0
123_235,9_123,-0.007416581477970187,30000.0
154_187,187_209,0.9859396590925941,30000.0
154_187,77_142,0.9824857054617585,30000.0
73_219,73_202,0.6667327477331708,30000.0
A35,35_206,0.9951201549515817,30000.0
A35,188_193,0.07364634295820581,30000.0
A35,35_188,0.9964474833522142,30000.0
125_170,92_125,0.9955756471417423,30000.0
125_170,92_164,0.993923010893878,30000.0
A3,3_111,0.9908082894331005,30000.0
119_239,74_185,-0.5657758256977751,30000.0
119_239,A74,-0.14072698243579765,30000.0
31_175,175_215,0.9955574489945029,30000.0
31_175,31_200,0.789904108869749,30000.0
217_238,4_198,-0.031722285235825806,30000.0
217_238,A4,-0.03626165291908417,30000.0
217_238,198_217,-0.018970524006917205,30000.0
31_200,31_175,0.6582499867053483,30000.0
A0,0_231,0.10051617535586697,30000.0
A84,84_182,0.9892180643360569,30000.0
A84,182_232,0.2208068764605966,30000.0
0_231,A0,0.8128708934648878,30000.0
198_217,4_198,0.9961519583218151,30000.0
198_217,A4,0.9939946912526182,30000.0
198_217,217_238,0.0346276852499566,30000.0
73_202,73_219,0.05450825532796073,30000.0
121_139,121_204,0.005456646755021891,30000.0
121_139,121_229,0.9952959907670602,30000.0
185_224,74_185,0.1033471722700589,30000.0
185_224,A74,-0.307640424312784,30000.0
182_232,84_182,0.26059654079315003,30000.0
182_232,A84,0.06638964095439397,30000.0
201_225,56_189,0.10071248334511616,30000.0
177_223,152_177,0.9968363659412045,30000.0
77_142,187_209,0.999,30000.0
77_142,154_187,0.9901386258106897,30000.0
9_123,A9,0.9917842390121833,30000.0
9_123,123_235,-0.02308775097770947,30000.0
181_233,179_181,0.45215281928550327,30000.0
181_233,96_179,0.9431460595033706,30000.0
35_188,188_193,0.9925191576786878,30000.0
35_188,A35,0.9924421390443428,30000.0
62_228,A62,0.9918681339453332,30000.0
208_226,226_237,0.30327256459952473,30000.0
208_226,166_208,0.3751574841801597,30000.0
208_226,106_166,0.0035806733728058707,30000.0
92_164,92_125,0.9961431400077267,30000.0
92_164,125_170,0.9980677675562446,30000.0
96_179,179_181,0.9938489106425386,30000.0
96_179,181_233,0.5448508132342774,30000.0
3_111,A3,0.992426314818218,30000.0
190_213,180_190,0.9886409504269343,30000.0
190_213,190_236,0.34915267472229894,30000.0
204_218,121_204,0.9880779805455601,30000.0
134_144,104_134,0.9912150306504006,30000.0
