59.0,A17
35.0,A43
0.0,134_144
69.0,A73
52.0,A96
40.0,A46
38.0,117_121
32.0,A0
53.0,A14
29.0,A93
102.0,A40
87.0,40_102
40.0,115_126
41.0,9_123
47.0,A90
54.0,25_117
60.0,A27
0.0,10_145
74.0,13_104
36.0,6_130
58.0,A56
55.0,A41
64.0,13_122
53.0,92_125
67.0,A3
25.0,10_132
0.0,77_142
0.0,49_143
27.0,121_139
68.0,A88
0.0,55_148
73.0,A9
83.0,A74
72.0,A50
70.0,A65
57.0,A86
35.0,89_110
72.0,74_119
0.0,84_140
38.0,A22
59.0,A32
25.0,111_137
34.0,A66
59.0,A77
50.0,A34
44.0,A26
53.0,A45
44.0,A4
89.0,42_116
53.0,79_107
47.0,A62
36.0,A99
31.0,A95
51.0,3_111
57.0,A35
81.0,A78
45.0,A24
57.0,42_124
45.0,A28
90.0,A13
38.0,32_128
52.0,A67
50.0,A84
74.0,A48
65.0,48_115
54.0,50_120
78.0,51_113
49.0,A16
29.0,49_135
83.0,63_108
53.0,88_129
64.0,39_100
50.0,A31
26.0,47_136
52.0,A54
54.0,A44
50.0,A38
32.0,A53
29.0,A55
31.0,48_133
42.0,76_106
43.0,A10
45.0,A57
36.0,A30
55.0,86_127
59.0,88_112
0.0,16_146
68.0,A92
36.0,A37
40.0,A91
29.0,A64
0.0,86_141
25.0,16_138
76.0,78_101
56.0,A97
32.0,86_131
46.0,A49
0.0,66_147
33.0,104_134
0.0,127_149
