from , to, time
51_111,51_111,14000.0
108_118,108_118,14000.0
108_118,64_123,14000.0
108_118,118_121,14000.0
A97,A97,14000.0
19_158,19_158,14000.0
19_158,145_166,14000.0
19_158,19_145,14000.0
A80,A80,14000.0
A80,80_106,14000.0
A80,80_168,14000.0
A80,106_162,14000.0
53_116,53_116,14000.0
53_116,107_114,14000.0
53_116,A53,14000.0
53_116,53_107,14000.0
A22,A22,14000.0
A22,22_144,14000.0
A17,A17,14000.0
A17,17_169,14000.0
A3,A3,14000.0
A85,A85,14000.0
A92,A92,14000.0
A92,92_148,14000.0
A12,A12,14000.0
145_166,19_158,14000.0
145_166,145_166,14000.0
145_166,19_145,14000.0
A42,A42,14000.0
107_114,53_116,14000.0
107_114,107_114,14000.0
107_114,A53,14000.0
107_114,53_107,14000.0
17_169,A17,14000.0
17_169,17_169,14000.0
34_135,34_135,14000.0
45_102,45_102,14000.0
45_102,A45,14000.0
A34,A34,14000.0
A59,A59,14000.0
A45,45_102,14000.0
A45,A45,14000.0
43_160,43_160,14000.0
43_160,43_132,14000.0
43_160,132_163,14000.0
43_160,A43,14000.0
42_126,42_126,14000.0
42_126,126_151,14000.0
A83,A83,14000.0
A19,A19,14000.0
12_105,12_105,14000.0
A99,A99,14000.0
87_147,87_147,14000.0
87_147,A87,14000.0
66_138,66_138,14000.0
A71,A71,14000.0
A74,A74,14000.0
0_115,0_115,14000.0
0_115,115_164,14000.0
143_154,143_154,14000.0
143_154,68_143,14000.0
A4,A4,14000.0
104_128,104_128,14000.0
104_128,A95,14000.0
104_128,128_134,14000.0
104_128,95_146,14000.0
A56,A56,14000.0
A37,A37,14000.0
A37,37_165,14000.0
A27,A27,14000.0
A94,A94,14000.0
77_153,77_153,14000.0
77_153,A77,14000.0
A40,A40,14000.0
64_123,108_118,14000.0
64_123,64_123,14000.0
64_123,118_121,14000.0
A41,A41,14000.0
A20,A20,14000.0
84_159,84_159,14000.0
A62,A62,14000.0
47_113,47_113,14000.0
47_113,47_155,14000.0
47_113,A47,14000.0
43_132,43_160,14000.0
43_132,43_132,14000.0
43_132,132_163,14000.0
43_132,A43,14000.0
A53,53_116,14000.0
A53,107_114,14000.0
A53,A53,14000.0
A53,53_107,14000.0
76_157,76_157,14000.0
76_157,76_139,14000.0
76_157,139_156,14000.0
76_157,76_141,14000.0
A5,A5,14000.0
53_107,53_116,14000.0
53_107,107_114,14000.0
53_107,A53,14000.0
53_107,53_107,14000.0
A16,A16,14000.0
A16,16_152,14000.0
80_106,A80,14000.0
80_106,80_106,14000.0
80_106,80_168,14000.0
80_106,106_162,14000.0
92_148,A92,14000.0
92_148,92_148,14000.0
A18,A18,14000.0
A95,104_128,14000.0
A95,A95,14000.0
A95,128_134,14000.0
A95,95_146,14000.0
A87,87_147,14000.0
A87,A87,14000.0
118_121,108_118,14000.0
118_121,64_123,14000.0
118_121,118_121,14000.0
68_143,143_154,14000.0
68_143,68_143,14000.0
137_161,137_161,14000.0
137_161,A36,14000.0
137_161,36_137,14000.0
A75,A75,14000.0
A29,A29,14000.0
A88,A88,14000.0
A98,A98,14000.0
132_163,43_160,14000.0
132_163,43_132,14000.0
132_163,132_163,14000.0
132_163,A43,14000.0
A36,137_161,14000.0
A36,A36,14000.0
A36,36_137,14000.0
63_149,63_149,14000.0
16_152,A16,14000.0
16_152,16_152,14000.0
76_139,76_157,14000.0
76_139,76_139,14000.0
76_139,139_156,14000.0
76_139,76_141,14000.0
22_144,A22,14000.0
22_144,22_144,14000.0
A43,43_160,14000.0
A43,43_132,14000.0
A43,132_163,14000.0
A43,A43,14000.0
80_168,A80,14000.0
80_168,80_106,14000.0
80_168,80_168,14000.0
80_168,106_162,14000.0
139_156,76_157,14000.0
139_156,76_139,14000.0
139_156,139_156,14000.0
139_156,76_141,14000.0
A51,A51,14000.0
128_134,104_128,14000.0
128_134,A95,14000.0
128_134,128_134,14000.0
128_134,95_146,14000.0
37_165,A37,14000.0
37_165,37_165,14000.0
19_145,19_158,14000.0
19_145,145_166,14000.0
19_145,19_145,14000.0
A61,A61,14000.0
115_164,0_115,14000.0
115_164,115_164,14000.0
A24,A24,14000.0
95_146,104_128,14000.0
95_146,A95,14000.0
95_146,128_134,14000.0
95_146,95_146,14000.0
106_162,A80,14000.0
106_162,80_106,14000.0
106_162,80_168,14000.0
106_162,106_162,14000.0
111_124,111_124,14000.0
76_141,76_157,14000.0
76_141,76_139,14000.0
76_141,139_156,14000.0
76_141,76_141,14000.0
A49,A49,14000.0
A49,49_167,14000.0
78_110,78_110,14000.0
78_110,A78,14000.0
A1,A1,14000.0
A1,1_150,14000.0
A84,A84,14000.0
A30,A30,14000.0
49_167,A49,14000.0
49_167,49_167,14000.0
126_151,42_126,14000.0
126_151,126_151,14000.0
A54,A54,14000.0
47_155,47_113,14000.0
47_155,47_155,14000.0
47_155,A47,14000.0
A11,A11,14000.0
A78,78_110,14000.0
A78,A78,14000.0
A77,77_153,14000.0
A77,A77,14000.0
36_137,137_161,14000.0
36_137,A36,14000.0
36_137,36_137,14000.0
A47,47_113,14000.0
A47,47_155,14000.0
A47,A47,14000.0
1_150,A1,14000.0
1_150,1_150,14000.0
