from , to, time
A74,A74,22000.0
A74,74_119,22000.0
179_181,179_181,22000.0
179_181,96_179,22000.0
10_145,10_145,22000.0
10_145,10_132,22000.0
138_165,138_165,22000.0
76_106,76_106,22000.0
76_106,166_195,22000.0
152_177,152_177,22000.0
A62,A62,22000.0
180_190,180_190,22000.0
180_190,108_180,22000.0
92_125,92_125,22000.0
92_125,125_170,22000.0
92_125,92_164,22000.0
A35,A35,22000.0
A35,35_206,22000.0
A56,A56,22000.0
A56,56_201,22000.0
A67,A67,22000.0
154_187,154_187,22000.0
154_187,77_142,22000.0
154_187,142_154,22000.0
154_187,187_209,22000.0
51_113,51_113,22000.0
110_156,110_156,22000.0
110_156,156_186,22000.0
90_194,90_194,22000.0
31_200,31_200,22000.0
31_200,31_175,22000.0
31_200,A31,22000.0
9_123,9_123,22000.0
138_151,138_151,22000.0
166_208,166_208,22000.0
166_208,106_166,22000.0
63_108,63_108,22000.0
106_166,166_208,22000.0
106_166,106_166,22000.0
47_136,47_136,22000.0
47_136,136_203,22000.0
156_186,110_156,22000.0
156_186,156_186,22000.0
44_199,44_199,22000.0
44_199,A44,22000.0
A50,A50,22000.0
4_198,4_198,22000.0
4_198,A4,22000.0
108_180,180_190,22000.0
108_180,108_180,22000.0
137_191,137_191,22000.0
137_191,191_205,22000.0
117_121,117_121,22000.0
117_121,121_204,22000.0
117_121,121_139,22000.0
56_201,A56,22000.0
56_201,56_201,22000.0
55_148,55_148,22000.0
55_148,A55,22000.0
125_170,92_125,22000.0
125_170,125_170,22000.0
125_170,92_164,22000.0
6_130,6_130,22000.0
A44,44_199,22000.0
A44,A44,22000.0
191_205,137_191,22000.0
191_205,191_205,22000.0
3_111,3_111,22000.0
104_134,104_134,22000.0
104_134,134_144,22000.0
42_124,42_124,22000.0
122_153,122_153,22000.0
A9,A9,22000.0
A16,A16,22000.0
32_128,32_128,22000.0
32_128,A32,22000.0
31_175,31_200,22000.0
31_175,31_175,22000.0
31_175,A31,22000.0
A0,A0,22000.0
35_188,35_188,22000.0
35_188,188_193,22000.0
A17,A17,22000.0
134_144,104_134,22000.0
134_144,134_144,22000.0
48_133,48_133,22000.0
48_133,48_115,22000.0
86_131,86_131,22000.0
73_202,73_202,22000.0
73_202,A73,22000.0
66_147,66_147,22000.0
95_176,95_176,22000.0
133_160,133_160,22000.0
A30,A30,22000.0
37_197,37_197,22000.0
A14,A14,22000.0
128_196,128_196,22000.0
16_146,16_146,22000.0
84_182,84_182,22000.0
84_182,A84,22000.0
A28,A28,22000.0
77_142,154_187,22000.0
77_142,77_142,22000.0
77_142,142_154,22000.0
77_142,187_209,22000.0
48_115,48_133,22000.0
48_115,48_115,22000.0
107_178,107_178,22000.0
A3,A3,22000.0
92_164,92_125,22000.0
92_164,125_170,22000.0
92_164,92_164,22000.0
137_163,137_163,22000.0
74_119,A74,22000.0
74_119,74_119,22000.0
49_135,49_135,22000.0
96_179,179_181,22000.0
96_179,96_179,22000.0
A90,A90,22000.0
16_192,16_192,22000.0
136_203,47_136,22000.0
136_203,136_203,22000.0
42_116,42_116,22000.0
A55,55_148,22000.0
A55,A55,22000.0
37_207,37_207,22000.0
37_207,A37,22000.0
A73,73_202,22000.0
A73,A73,22000.0
166_195,76_106,22000.0
166_195,166_195,22000.0
121_204,117_121,22000.0
121_204,121_204,22000.0
121_204,121_139,22000.0
A34,A34,22000.0
A31,31_200,22000.0
A31,31_175,22000.0
A31,A31,22000.0
39_100,39_100,22000.0
74_185,74_185,22000.0
10_132,10_145,22000.0
10_132,10_132,22000.0
142_154,154_187,22000.0
142_154,77_142,22000.0
142_154,142_154,22000.0
142_154,187_209,22000.0
A32,32_128,22000.0
A32,A32,22000.0
56_189,56_189,22000.0
A84,84_182,22000.0
A84,A84,22000.0
A91,A91,22000.0
111_137,111_137,22000.0
115_126,115_126,22000.0
A57,A57,22000.0
35_206,A35,22000.0
35_206,35_206,22000.0
A37,37_207,22000.0
A37,A37,22000.0
A22,A22,22000.0
121_139,117_121,22000.0
121_139,121_204,22000.0
121_139,121_139,22000.0
16_138,16_138,22000.0
188_193,35_188,22000.0
188_193,188_193,22000.0
A4,4_198,22000.0
A4,A4,22000.0
187_209,154_187,22000.0
187_209,77_142,22000.0
187_209,142_154,22000.0
187_209,187_209,22000.0
