from , to, weight, time
165_186,186_217,0.0014910616402098692,28000.0
78_162,78_184,0.0027134842302514307,28000.0
78_162,A78,0.999,28000.0
78_162,184_208,0.0018205676673305386,28000.0
78_162,208_219,0.00149106164020987,28000.0
A84,84_163,0.004042567658282904,28000.0
84_163,A84,0.999,28000.0
0_144,A61,0.0069297491461534026,28000.0
0_144,61_194,0.0012432707159267826,28000.0
0_144,A0,0.9990048833935301,28000.0
70_182,A73,0.0012065726508724342,28000.0
70_182,182_224,0.0012211202275368863,28000.0
70_182,A32,0.004019647451951349,28000.0
70_182,70_174,0.9990003995401839,28000.0
89_207,A89,0.999,28000.0
89_207,89_143,0.9757334194337012,28000.0
152_206,175_220,0.001221120227536887,28000.0
152_206,A71,0.9315250318946119,28000.0
152_206,152_210,0.00149106164020987,28000.0
152_206,166_175,0.9965427306103144,28000.0
152_206,71_152,0.9990035901259714,28000.0
116_216,116_205,0.9988274127421097,28000.0
116_216,92_116,0.999,28000.0
116_216,A92,0.999,28000.0
175_220,152_206,0.9768410523779645,28000.0
175_220,A71,0.2309310664507653,28000.0
175_220,152_210,0.8840828299028554,28000.0
175_220,166_175,0.999,28000.0
175_220,71_152,0.19570869810284416,28000.0
86_223,190_203,0.9902151429112018,28000.0
86_223,86_190,0.9895169624496417,28000.0
86_223,A86,0.999,28000.0
120_168,125_157,0.002300108189691941,28000.0
120_168,191_218,0.0014910616402098714,28000.0
120_168,170_201,0.001793870973434282,28000.0
120_168,138_179,0.002300108189691941,28000.0
120_168,140_183,0.0027134842302514277,28000.0
120_168,120_140,0.999,28000.0
120_168,3_191,0.002222728339788834,28000.0
186_217,165_186,0.9990057777501544,28000.0
A73,70_182,0.0012065726508724342,28000.0
A73,182_224,0.0012065726508724342,28000.0
178_209,147_178,0.999,28000.0
A33,33_227,0.0012211202275368863,28000.0
60_202,60_195,0.997581456717464,28000.0
125_157,120_168,0.002300108189691941,28000.0
125_157,138_179,0.0033122343903486083,28000.0
125_157,140_183,0.002300108189691941,28000.0
125_157,120_140,0.0022998787307630824,28000.0
190_203,86_223,0.0012211202275368863,28000.0
190_203,86_190,0.999,28000.0
190_203,A86,0.999,28000.0
78_184,78_162,0.999,28000.0
78_184,A78,0.999,28000.0
78_184,184_208,0.0018205676673305378,28000.0
78_184,208_219,0.00149106164020987,28000.0
29_198,A6,0.0012105558906160096,28000.0
29_198,29_104,0.9990099408085809,28000.0
29_198,29_136,0.9978336847622971,28000.0
29_198,136_204,0.001820567667330538,28000.0
29_198,177_197,0.697100518273916,28000.0
191_218,120_168,0.7593920651218479,28000.0
191_218,170_201,0.8200214252427036,28000.0
191_218,140_183,0.7647858671018403,28000.0
191_218,120_140,0.12947543136980014,28000.0
191_218,3_191,0.999,28000.0
A6,29_198,0.0012105558906160096,28000.0
A6,29_104,0.002523451620763104,28000.0
A6,29_136,0.0025229482791220437,28000.0
A6,136_204,0.0012103141087070875,28000.0
A6,177_197,0.0012100723750302826,28000.0
A71,152_206,0.0018205676673305402,28000.0
A71,175_220,0.0012149162236220951,28000.0
A71,152_210,0.00149106164020987,28000.0
A71,166_175,0.0033122343903486196,28000.0
A71,71_152,0.004933139263020576,28000.0
60_195,60_202,0.0018205676673305371,28000.0
A78,78_162,0.0040425676582829155,28000.0
A78,78_184,0.002713484230251433,28000.0
A78,184_208,0.0017990711175790441,28000.0
A78,208_219,0.001489573617929001,28000.0
17_156,A17,0.999,28000.0
152_210,152_206,0.9977633913305031,28000.0
152_210,175_220,0.0012211202275368867,28000.0
152_210,A71,0.969649640596603,28000.0
152_210,166_175,0.9976728310366998,28000.0
152_210,71_152,0.9990040877351586,28000.0
A61,0_144,0.005425315659235518,28000.0
A61,61_194,0.0022227283397888292,28000.0
A61,A0,0.01600227545724522,28000.0
170_201,120_168,0.884855252440822,28000.0
170_201,191_218,0.0014910616402098698,28000.0
170_201,140_183,0.9879351088892439,28000.0
170_201,120_140,0.753316158492334,28000.0
170_201,3_191,0.596934497729562,28000.0
A74,74_181,0.002713484230251428,28000.0
29_104,29_198,0.0022227283397888353,28000.0
29_104,A6,0.002523451620763104,28000.0
29_104,29_136,0.007341422612462795,28000.0
29_104,136_204,0.0018205676673305417,28000.0
29_104,177_197,0.0021768577442204703,28000.0
