93.0,A84
36.0,107_248
88.0,153_195
188.0,60_110
96.0,135_207
37.0,A10
320.0,A53
93.0,40_134
80.0,5_191
90.0,69_136
96.0,15_182
29.0,215_256
195.0,A55
0.0,257_264
201.0,107_176
98.0,A48
99.0,35_112
120.0,13_132
59.0,55_230
115.0,77_150
118.0,97_162
68.0,190_220
170.0,A87
162.0,A39
39.0,97_253
232.0,A35
0.0,97_260
35.0,220_241
133.0,A58
59.0,40_231
166.0,88_169
54.0,45_217
36.0,135_252
70.0,71_223
39.0,225_251
107.0,A26
145.0,82_172
88.0,31_114
187.0,93_146
168.0,143_164
0.0,255_265
36.0,162_259
37.0,39_247
108.0,146_174
96.0,187_201
0.0,206_261
133.0,74_135
42.0,174_240
154.0,87_170
69.0,39_215
69.0,53_216
86.0,192_228
155.0,121_144
100.0,138_153
46.0,106_243
97.0,84_205
239.0,53_159
77.0,106_234
91.0,171_206
84.0,212_233
0.0,169_267
0.0,247_266
212.0,A88
111.0,A43
84.0,A23
102.0,99_192
103.0,A28
37.0,110_254
133.0,77_141
108.0,170_212
0.0,110_263
84.0,182_221
176.0,A54
104.0,164_190
31.0,206_249
137.0,39_187
96.0,A38
48.0,97_246
0.0,88_262
48.0,70_239
0.0,162_268
52.0,150_244
138.0,144_180
233.0,82_106
36.0,221_258
221.0,97_143
220.0,A46
111.0,105_123
87.0,A5
33.0,194_257
23.0,231_255
42.0,108_226
175.0,A97
74.0,135_227
240.0,A75
100.0,54_203
144.0,A61
117.0,A7
71.0,153_168
0.0,221_269
