45.0,A97
85.0,1_110
20.0,A68
24.0,59_180
36.0,A27
30.0,167_200
45.0,A96
38.0,167_192
75.0,126_141
28.0,38_195
23.0,32_206
26.0,64_112
52.0,149_161
38.0,132_199
40.0,40_105
94.0,43_129
44.0,A50
53.0,A36
49.0,117_168
38.0,A59
74.0,A38
0.0,44_214
59.0,43_151
101.0,A32
16.0,55_208
89.0,A73
19.0,95_207
43.0,4_155
52.0,126_187
78.0,132_175
52.0,A54
36.0,175_183
0.0,134_211
65.0,A44
40.0,A55
60.0,44_179
0.0,196_216
25.0,134_198
22.0,181_203
53.0,86_130
37.0,168_172
36.0,121_182
92.0,A30
100.0,A89
148.0,A99
108.0,99_156
43.0,A20
28.0,A31
29.0,20_197
45.0,44_134
32.0,A90
0.0,192_215
0.0,68_212
80.0,136_143
31.0,168_193
26.0,27_201
45.0,A58
41.0,54_178
90.0,32_136
68.0,A51
20.0,120_204
62.0,73_162
92.0,89_139
0.0,141_213
45.0,A56
43.0,44_191
74.0,156_167
55.0,169_186
62.0,139_157
40.0,58_154
51.0,120_184
50.0,44_189
83.0,A7
57.0,88_128
21.0,A17
81.0,110_147
20.0,105_205
41.0,3_145
84.0,62_169
39.0,39_174
24.0,172_190
96.0,A12
30.0,A60
58.0,A47
58.0,118_123
28.0,A95
0.0,126_217
65.0,A80
35.0,A91
67.0,32_152
88.0,114_122
105.0,41_126
29.0,146_170
85.0,114_137
0.0,143_218
0.0,175_210
29.0,128_209
34.0,159_196
23.0,A0
0.0,167_219
