from , to, time
11_104,11_104,12000.0
11_104,104_122,12000.0
11_104,A11,12000.0
A5,A5,12000.0
A88,A88,12000.0
A56,A56,12000.0
A56,56_127,12000.0
A81,A81,12000.0
A61,A61,12000.0
A61,61_155,12000.0
49_117,49_117,12000.0
49_117,117_139,12000.0
49_117,139_159,12000.0
A31,A31,12000.0
A31,31_158,12000.0
99_102,99_102,12000.0
99_102,A99,12000.0
15_149,15_149,12000.0
15_149,A15,12000.0
30_129,30_129,12000.0
30_129,129_140,12000.0
56_127,A56,12000.0
56_127,56_127,12000.0
56_112,56_112,12000.0
56_112,112_120,12000.0
A87,A87,12000.0
108_113,108_113,12000.0
94_157,94_157,12000.0
94_157,A94,12000.0
A92,A92,12000.0
76_108,76_108,12000.0
A48,A48,12000.0
112_120,56_112,12000.0
112_120,112_120,12000.0
A35,A35,12000.0
A32,A32,12000.0
A25,A25,12000.0
A25,25_133,12000.0
A33,A33,12000.0
A94,94_157,12000.0
A94,A94,12000.0
117_141,117_141,12000.0
122_137,122_137,12000.0
85_150,85_150,12000.0
85_150,A85,12000.0
84_110,84_110,12000.0
84_110,A84,12000.0
A85,85_150,12000.0
A85,A85,12000.0
A38,A38,12000.0
A38,38_124,12000.0
117_139,49_117,12000.0
117_139,117_139,12000.0
117_139,139_159,12000.0
A80,A80,12000.0
25_133,A25,12000.0
25_133,25_133,12000.0
A44,A44,12000.0
45_142,45_142,12000.0
30_135,30_135,12000.0
30_135,A30,12000.0
A79,A79,12000.0
A9,A9,12000.0
A9,9_144,12000.0
A20,A20,12000.0
24_114,24_114,12000.0
104_122,11_104,12000.0
104_122,104_122,12000.0
38_124,A38,12000.0
38_124,38_124,12000.0
115_123,115_123,12000.0
11_118,11_118,12000.0
11_118,118_153,12000.0
A15,15_149,12000.0
A15,A15,12000.0
A54,A54,12000.0
A21,A21,12000.0
A21,21_119,12000.0
A16,A16,12000.0
A16,16_134,12000.0
A75,A75,12000.0
121_130,121_130,12000.0
121_130,34_121,12000.0
A4,A4,12000.0
A26,A26,12000.0
A69,A69,12000.0
34_116,34_116,12000.0
A59,A59,12000.0
118_153,11_118,12000.0
118_153,118_153,12000.0
A50,A50,12000.0
9_144,A9,12000.0
9_144,9_144,12000.0
129_140,30_129,12000.0
129_140,129_140,12000.0
A23,A23,12000.0
21_119,A21,12000.0
21_119,21_119,12000.0
A30,30_135,12000.0
A30,A30,12000.0
A76,A76,12000.0
A11,11_104,12000.0
A11,A11,12000.0
28_151,28_151,12000.0
28_151,A28,12000.0
118_146,118_146,12000.0
A45,A45,12000.0
A45,45_154,12000.0
2_132,2_132,12000.0
A19,A19,12000.0
A29,A29,12000.0
135_147,135_147,12000.0
A84,84_110,12000.0
A84,A84,12000.0
A37,A37,12000.0
A6,A6,12000.0
94_106,94_106,12000.0
24_107,24_107,12000.0
A55,A55,12000.0
A51,A51,12000.0
34_121,121_130,12000.0
34_121,34_121,12000.0
16_134,A16,12000.0
16_134,16_134,12000.0
139_148,139_148,12000.0
A68,A68,12000.0
14_126,14_126,12000.0
14_126,A14,12000.0
96_156,96_156,12000.0
96_156,A96,12000.0
A14,14_126,12000.0
A14,A14,12000.0
61_155,A61,12000.0
61_155,61_155,12000.0
45_154,A45,12000.0
45_154,45_154,12000.0
63_152,63_152,12000.0
63_152,A63,12000.0
A96,96_156,12000.0
A96,A96,12000.0
A71,A71,12000.0
A78,A78,12000.0
31_158,A31,12000.0
31_158,31_158,12000.0
18_109,18_109,12000.0
A63,63_152,12000.0
A63,A63,12000.0
A41,A41,12000.0
A99,99_102,12000.0
A99,A99,12000.0
A28,28_151,12000.0
A28,A28,12000.0
A12,A12,12000.0
139_159,49_117,12000.0
139_159,117_139,12000.0
139_159,139_159,12000.0
