from , to, weight, time
A80,80_108,0.6054039499156074,4000.0
40_105,A40,0.9113611829730783,4000.0
74_101,A74,0.2248583200268421,4000.0
7_102,A7,0.11712237256323949,4000.0
89_103,A89,-0.003900891672580848,4000.0
A99,99_100,0.9015430070445376,4000.0
A16,16_106,-6.355736269157209E-4,4000.0
A7,7_102,0.14416322323103767,4000.0
A24,24_107,0.8112049558097153,4000.0
16_106,A16,0.00839862302561996,4000.0
99_100,A99,0.7071958631207534,4000.0
A47,47_104,0.07256037803788563,4000.0
80_108,A80,0.7982150970518214,4000.0
A74,74_101,0.579113455426531,4000.0
47_104,A47,-0.03493415445023016,4000.0
A89,89_103,0.63755353998246,4000.0
24_107,A24,0.014245572287921345,4000.0
A40,40_105,0.6812427316247269,4000.0
