from , to, time
156_317,156_317,44000.0
156_317,110_156,44000.0
257_288,257_288,44000.0
214_281,214_281,44000.0
214_281,281_293,44000.0
214_281,281_318,44000.0
123_299,123_299,44000.0
123_299,9_316,44000.0
123_299,A9,44000.0
283_311,283_311,44000.0
283_311,138_151,44000.0
283_311,283_302,44000.0
283_311,151_283,44000.0
32_220,32_220,44000.0
32_220,32_230,44000.0
260_300,260_300,44000.0
179_181,179_181,44000.0
179_181,96_179,44000.0
179_181,181_233,44000.0
144_256,144_256,44000.0
212_279,212_279,44000.0
177_254,177_254,44000.0
138_151,283_311,44000.0
138_151,138_151,44000.0
138_151,283_302,44000.0
138_151,151_283,44000.0
228_251,228_251,44000.0
228_251,62_228,44000.0
123_235,123_235,44000.0
145_212,145_212,44000.0
145_212,212_243,44000.0
3_249,3_249,44000.0
3_249,249_305,44000.0
208_304,208_304,44000.0
208_304,166_208,44000.0
A62,A62,44000.0
247_314,247_314,44000.0
247_314,90_247,44000.0
247_314,A90,44000.0
247_314,194_270,44000.0
185_224,185_224,44000.0
185_224,224_309,44000.0
185_224,A74,44000.0
138_165,138_165,44000.0
35_188,35_188,44000.0
247_266,247_266,44000.0
240_274,240_274,44000.0
240_274,131_240,44000.0
165_253,165_253,44000.0
165_253,253_268,44000.0
208_241,208_241,44000.0
208_241,241_296,44000.0
32_230,32_220,44000.0
32_230,32_230,44000.0
187_280,187_280,44000.0
187_280,280_313,44000.0
187_280,154_187,44000.0
263_287,263_287,44000.0
263_287,125_263,44000.0
280_313,187_280,44000.0
280_313,280_313,44000.0
280_313,154_187,44000.0
104_134,104_134,44000.0
104_134,134_144,44000.0
9_271,9_271,44000.0
A35,A35,44000.0
A35,206_310,44000.0
A35,35_206,44000.0
A35,35_319,44000.0
9_301,9_301,44000.0
204_306,204_306,44000.0
204_306,121_204,44000.0
190_213,190_213,44000.0
219_308,219_308,44000.0
257_315,257_315,44000.0
257_315,225_257,44000.0
224_309,185_224,44000.0
224_309,224_309,44000.0
224_309,A74,44000.0
A3,A3,44000.0
A3,3_111,44000.0
273_297,273_297,44000.0
106_166,106_166,44000.0
133_211,133_211,44000.0
84_248,84_248,44000.0
84_248,A84,44000.0
74_185,74_185,44000.0
74_185,185_307,44000.0
9_316,123_299,44000.0
9_316,9_316,44000.0
9_316,A9,44000.0
217_242,217_242,44000.0
202_244,202_244,44000.0
202_244,73_202,44000.0
255_284,255_284,44000.0
255_284,142_255,44000.0
206_310,A35,44000.0
206_310,206_310,44000.0
206_310,35_206,44000.0
206_310,35_319,44000.0
283_302,283_311,44000.0
283_302,138_151,44000.0
283_302,283_302,44000.0
283_302,151_283,44000.0
241_296,208_241,44000.0
241_296,241_296,44000.0
90_247,247_314,44000.0
90_247,90_247,44000.0
90_247,A90,44000.0
90_247,194_270,44000.0
96_179,179_181,44000.0
96_179,96_179,44000.0
96_179,181_233,44000.0
175_215,175_215,44000.0
226_282,226_282,44000.0
208_226,208_226,44000.0
208_226,226_237,44000.0
37_207,37_207,44000.0
A90,247_314,44000.0
A90,90_247,44000.0
A90,A90,44000.0
A90,194_270,44000.0
181_233,179_181,44000.0
181_233,96_179,44000.0
181_233,181_233,44000.0
166_208,208_304,44000.0
166_208,166_208,44000.0
268_277,268_277,44000.0
268_277,253_268,44000.0
281_293,214_281,44000.0
281_293,281_293,44000.0
281_293,281_318,44000.0
110_156,156_317,44000.0
110_156,110_156,44000.0
154_187,187_280,44000.0
154_187,280_313,44000.0
154_187,154_187,44000.0
151_283,283_311,44000.0
151_283,138_151,44000.0
151_283,283_302,44000.0
151_283,151_283,44000.0
73_202,202_244,44000.0
73_202,73_202,44000.0
47_136,47_136,44000.0
115_126,115_126,44000.0
115_126,126_292,44000.0
142_255,255_284,44000.0
142_255,142_255,44000.0
126_292,115_126,44000.0
126_292,126_292,44000.0
0_231,0_231,44000.0
226_237,208_226,44000.0
226_237,226_237,44000.0
194_270,247_314,44000.0
194_270,90_247,44000.0
194_270,A90,44000.0
194_270,194_270,44000.0
3_111,A3,44000.0
3_111,3_111,44000.0
A84,84_248,44000.0
A84,A84,44000.0
212_243,145_212,44000.0
212_243,212_243,44000.0
198_217,198_217,44000.0
35_206,A35,44000.0
35_206,206_310,44000.0
35_206,35_206,44000.0
35_206,35_319,44000.0
A34,A34,44000.0
281_318,214_281,44000.0
281_318,281_293,44000.0
281_318,281_318,44000.0
125_263,263_287,44000.0
125_263,125_263,44000.0
256_298,256_298,44000.0
131_240,240_274,44000.0
131_240,131_240,44000.0
121_204,204_306,44000.0
121_204,121_204,44000.0
134_144,104_134,44000.0
134_144,134_144,44000.0
123_303,123_303,44000.0
253_268,165_253,44000.0
253_268,268_277,44000.0
253_268,253_268,44000.0
73_219,73_219,44000.0
A9,123_299,44000.0
A9,9_316,44000.0
A9,A9,44000.0
225_257,257_315,44000.0
225_257,225_257,44000.0
67_285,67_285,44000.0
67_285,285_312,44000.0
57_262,57_262,44000.0
249_305,3_249,44000.0
249_305,249_305,44000.0
A74,185_224,44000.0
A74,224_309,44000.0
A74,A74,44000.0
185_307,74_185,44000.0
185_307,185_307,44000.0
A91,A91,44000.0
62_228,228_251,44000.0
62_228,62_228,44000.0
285_312,67_285,44000.0
285_312,285_312,44000.0
35_319,A35,44000.0
35_319,206_310,44000.0
35_319,35_206,44000.0
35_319,35_319,44000.0
