from , to, weight
93_116,A47,0.012549044199091369,5000.0
93_116,A3,0.012551910265681854,5000.0
8_118,A8,0.9079090019544087,5000.0
A72,A89,0.003933671412042192,5000.0
A72,A69,0.17550273573983113,5000.0
A5,A21,0.05368837845621439,5000.0
45_106,A43,0.16309631394626298,5000.0
45_106,A45,0.9667381608450312,5000.0
98_109,60_102,0.016565298188289997,5000.0
98_109,A98,0.9713183153212457,5000.0
98_109,A7,0.22115759215718994,5000.0
98_109,A12,0.20284942400569314,5000.0
98_109,A60,0.014542298662145133,5000.0
A0,A50,0.1510242813895903,5000.0
A0,A65,0.14925466387338537,5000.0
A98,60_102,0.015503616971749954,5000.0
A98,98_109,0.9713183153212457,5000.0
A98,A7,0.26664295730902376,5000.0
A98,A12,0.23025384080887903,5000.0
A98,A60,0.013491440738267363,5000.0
A53,53_108,0.9475129027337418,5000.0
A53,A47,0.33299058580601637,5000.0
A13,A62,0.055098468628187,5000.0
A13,A25,0.16787190982727102,5000.0
A13,A70,0.3177231553076245,5000.0
A25,A62,0.11756417096633567,5000.0
A25,A13,0.16787190982727113,5000.0
A6,A39,0.26292511214092906,5000.0
A6,39_110,0.22544615189433515,5000.0
A45,A43,0.19571435035860377,5000.0
A45,45_106,0.9667381608450312,5000.0
A14,14_117,0.9430658773616964,5000.0
A31,A30,0.1367121294896702,5000.0
A31,A96,0.08034577684745234,5000.0
A33,33_114,0.9320389498293059,5000.0
A20,A59,0.15825921682915262,5000.0
53_108,A53,0.9475129027337418,5000.0
53_108,A47,0.2262798098227201,5000.0
A7,98_109,0.22115759215719008,5000.0
A7,A98,0.26664295730902365,5000.0
A7,A12,0.18643635450032894,5000.0
33_114,A33,0.9320389498293059,5000.0
A29,A38,0.32334134820243854,5000.0
A78,78_115,0.7915412476206278,5000.0
A63,63_119,0.9351867125663121,5000.0
A63,A96,0.2217821471677878,5000.0
A12,98_109,0.20284942400569309,5000.0
A12,A98,0.23025384080887903,5000.0
A12,A7,0.18643635450032914,5000.0
A38,A29,0.32334134820243865,5000.0
A38,A2,0.15480745612287192,5000.0
A30,A31,0.1367121294896703,5000.0
63_119,A63,0.935186712566312,5000.0
63_119,A96,0.10814161789234177,5000.0
A59,A20,0.15825921682915253,5000.0
A85,A9,0.14034724541604301,5000.0
A2,A38,0.15480745612287225,5000.0
A70,A39,0.23692265178317895,5000.0
A70,39_110,0.18860633355315592,5000.0
A70,A13,0.31772315530762446,5000.0
A10,A71,0.0956268645457337,5000.0
58_105,A69,0.015643653264007164,5000.0
58_105,3_101,0.04512342516193721,5000.0
58_105,A3,0.022592151575161604,5000.0
A60,A80,0.2595112811472901,5000.0
A60,60_102,0.9516235366834137,5000.0
A60,98_109,0.014542298662147924,5000.0
A60,A98,0.013491440738267167,5000.0
A84,A42,0.11465848513821998,5000.0
52_112,A52,0.8938336077521096,5000.0
A21,A57,0.23569349959011152,5000.0
A21,A5,0.0536883784562148,5000.0
A34,34_111,0.9091952225755554,5000.0
A76,A19,0.32336162458402856,5000.0
A8,8_118,0.9079090019544087,5000.0
A42,A84,0.11465848513822016,5000.0
74_100,A74,0.9597720226846462,5000.0
A15,A62,0.5098359419316414,5000.0
3_101,A69,0.01756611279869675,5000.0
3_101,58_105,0.04512342516193719,5000.0
3_101,A51,0.12479260559157108,5000.0
3_101,A3,0.9483908689353207,5000.0
A56,A41,0.14354532425596303,5000.0
A56,A79,0.1247750769599357,5000.0
78_115,A78,0.7915412476206278,5000.0
A51,A93,0.05970196720663343,5000.0
A51,93_116,0.022527946322904096,5000.0
A51,3_101,0.12479260559157097,5000.0
A51,A3,0.1654952748761369,5000.0
A11,A57,0.26271739810840883,5000.0
A65,A50,0.23896541675511565,5000.0
A65,A0,0.14925466387338554,5000.0
A9,A85,0.14034724541604326,5000.0
A96,A31,0.08034577684745262,5000.0
A96,A63,0.22178214716778782,5000.0
A96,63_119,0.10814161789234188,5000.0
A1,A75,0.028126472557889165,5000.0
A1,A36,0.25997204279083924,5000.0
A47,A93,0.009754444888284546,5000.0
A47,93_116,0.012549044199089254,5000.0
A47,A53,0.33299058580601637,5000.0
A47,53_108,0.2262798098227201,5000.0
A3,A93,0.011130674265250185,5000.0
A3,A69,0.03755396806436238,5000.0
A3,93_116,0.01255191026568538,5000.0
A3,58_105,0.022592151575161847,5000.0
A3,3_101,0.9483908689353207,5000.0
A3,A51,0.16549527487613713,5000.0
A61,61_113,0.8978500845055188,5000.0
A61,A82,0.11234938732299121,5000.0
