from , to, weight, time
96_156,A96,0.9968062228852753,18000.0
94_106,A94,1.0265722647138296,18000.0
117_141,139_148,0.34688949735482,18000.0
117_141,117_139,-0.005736816219720397,18000.0
117_141,49_117,0.9985898775709923,18000.0
139_148,117_141,0.8088692972393985,18000.0
139_148,148_164,0.31285422935246354,18000.0
139_148,117_139,0.8187855696311152,18000.0
139_148,49_117,0.07352455209380547,18000.0
A5,5_171,0.9313477131518948,18000.0
113_176,A76,0.2321927160897983,18000.0
113_176,108_113,0.907256857945524,18000.0
19_170,A19,0.8858308479642713,18000.0
167_178,59_167,0.975207701693023,18000.0
167_178,A59,-0.7122776325221265,18000.0
A19,19_170,0.7401034639156394,18000.0
71_162,A71,0.9947974915621209,18000.0
A15,149_163,0.9950352956911561,18000.0
A15,15_149,0.9892524023284553,18000.0
112_120,56_112,0.9919980668557181,18000.0
149_163,A15,0.9953299250510399,18000.0
149_163,15_149,0.9909329615216134,18000.0
104_122,122_137,0.9706441385925763,18000.0
104_122,A11,0.993835388409738,18000.0
104_122,11_118,0.9527480787629719,18000.0
104_122,118_153,-0.03094376989444763,18000.0
104_122,104_160,0.9940258873626571,18000.0
121_130,34_121,0.9860144285032235,18000.0
A63,63_152,0.9911934343782165,18000.0
148_164,139_148,0.9863774898433741,18000.0
A61,61_155,0.9912827743729724,18000.0
122_137,104_122,1.0026948517912893,18000.0
122_137,A11,0.4698620005267408,18000.0
122_137,11_118,0.006278819529354383,18000.0
15_149,A15,0.9973604086252494,18000.0
15_149,149_163,0.9988462792100642,18000.0
30_135,A30,0.9885260446612343,18000.0
30_135,135_147,0.9920519632297697,18000.0
A56,56_112,0.99653788774003,18000.0
28_151,A28,0.9963328757450155,18000.0
A30,30_135,0.998660610727623,18000.0
A30,135_147,0.9977790226232618,18000.0
117_139,117_141,0.5021721690036037,18000.0
117_139,139_148,0.9829878185892653,18000.0
117_139,139_159,0.7521287269732554,18000.0
117_139,49_117,0.9959938272846356,18000.0
135_147,30_135,0.9977777857819125,18000.0
135_147,A30,0.9914388653884404,18000.0
85_150,A85,0.999,18000.0
A84,84_110,0.992554371904277,18000.0
A94,94_106,0.891760919381175,18000.0
A94,94_157,0.9915998701512607,18000.0
38_124,A38,0.9891750876650991,18000.0
A85,85_150,0.9966670102442212,18000.0
84_110,A84,0.9769682788376347,18000.0
A28,28_151,0.9863833277553075,18000.0
94_157,A94,0.9942699364301141,18000.0
56_112,112_120,0.9958275341713243,18000.0
56_112,A56,0.9687240698870233,18000.0
A11,104_122,0.9934944276645342,18000.0
A11,122_137,0.38839892848508456,18000.0
A11,11_118,0.9986903248161294,18000.0
A11,118_153,-0.009675760689894387,18000.0
A11,104_160,0.30487786598876065,18000.0
81_166,A81,0.9944060399795044,18000.0
31_158,158_174,0.9095431128094905,18000.0
34_121,121_130,0.9961988160502526,18000.0
34_121,34_116,0.8054952519553403,18000.0
5_171,A5,0.2060199756299869,18000.0
A81,81_166,0.9948519591782403,18000.0
A54,54_179,0.7417099972333636,18000.0
A76,113_176,0.3709765833877921,18000.0
A76,108_113,0.9971489336602154,18000.0
54_179,A54,0.9698548021501524,18000.0
A96,96_156,0.999,18000.0
139_159,117_139,0.03109862342804973,18000.0
139_159,49_117,1.002273970730895,18000.0
49_117,117_141,0.993927472568487,18000.0
49_117,139_148,0.8720458402404883,18000.0
49_117,117_139,0.9799242064647079,18000.0
49_117,139_159,0.9880990139628436,18000.0
11_118,104_122,0.9950212510260595,18000.0
11_118,122_137,0.6981143376404568,18000.0
11_118,A11,0.9694326222074461,18000.0
11_118,118_153,0.9960435286716127,18000.0
11_118,104_160,-0.9896577925599263,18000.0
A71,71_162,0.9951878859676929,18000.0
A38,38_124,0.9877197979511175,18000.0
118_153,A11,-0.008677890041457872,18000.0
118_153,11_118,0.981501896635237,18000.0
59_167,167_178,0.8711376184865045,18000.0
59_167,A59,0.9715943079028574,18000.0
A59,59_167,0.9815820690855518,18000.0
158_174,31_158,0.9067040193673409,18000.0
63_152,A63,0.998882053369978,18000.0
34_116,34_121,0.9091590232231624,18000.0
108_113,113_176,0.894046479648004,18000.0
108_113,A76,0.9962791193930317,18000.0
61_155,A61,0.9983907958503976,18000.0
61_155,155_168,0.24078432448044967,18000.0
155_168,A61,-0.19170437090608344,18000.0
155_168,61_155,0.19513739059084986,18000.0
104_160,104_122,0.998749783983046,18000.0
104_160,A11,0.8505958305438954,18000.0
104_160,11_118,-0.999,18000.0
