from , to, time
A21,A21,2000.0
A4,A4,2000.0
A33,A33,2000.0
A71,A71,2000.0
A98,A98,2000.0
A98,98_101,2000.0
A14,A14,2000.0
A60,A60,2000.0
A51,A51,2000.0
A68,A68,2000.0
A29,A29,2000.0
A44,A44,2000.0
A61,A61,2000.0
A61,61_103,2000.0
A55,A55,2000.0
A42,A42,2000.0
A17,A17,2000.0
A63,A63,2000.0
A90,A90,2000.0
A9,A9,2000.0
A15,A15,2000.0
A18,A18,2000.0
A94,A94,2000.0
12_105,12_105,2000.0
12_105,A12,2000.0
A3,A3,2000.0
80_106,80_106,2000.0
80_106,A80,2000.0
A54,A54,2000.0
A79,A79,2000.0
A12,12_105,2000.0
A12,A12,2000.0
A0,A0,2000.0
A16,A16,2000.0
A48,A48,2000.0
A41,A41,2000.0
A41,41_109,2000.0
61_103,A61,2000.0
61_103,61_103,2000.0
A81,A81,2000.0
A82,A82,2000.0
95_104,95_104,2000.0
95_104,A95,2000.0
A67,A67,2000.0
A84,A84,2000.0
A70,A70,2000.0
A1,A1,2000.0
A23,A23,2000.0
6_100,6_100,2000.0
6_100,A6,2000.0
A97,A97,2000.0
A72,A72,2000.0
A93,A93,2000.0
A88,A88,2000.0
A59,A59,2000.0
A47,A47,2000.0
A19,A19,2000.0
A56,A56,2000.0
A83,A83,2000.0
A20,A20,2000.0
A52,A52,2000.0
A40,A40,2000.0
A73,A73,2000.0
A76,A76,2000.0
53_107,53_107,2000.0
53_107,A53,2000.0
A24,A24,2000.0
A6,6_100,2000.0
A6,A6,2000.0
A37,A37,2000.0
A2,A2,2000.0
A96,A96,2000.0
A10,A10,2000.0
A66,A66,2000.0
45_102,45_102,2000.0
45_102,A45,2000.0
A11,A11,2000.0
A99,A99,2000.0
A45,45_102,2000.0
A45,A45,2000.0
A25,A25,2000.0
A22,A22,2000.0
A27,A27,2000.0
A78,A78,2000.0
A95,95_104,2000.0
A95,A95,2000.0
A85,A85,2000.0
A35,A35,2000.0
A86,A86,2000.0
A75,A75,2000.0
A53,53_107,2000.0
A53,A53,2000.0
A31,A31,2000.0
A31,A32,2000.0
A13,A13,2000.0
A5,A5,2000.0
A32,A31,2000.0
A32,A32,2000.0
A49,A49,2000.0
A36,A36,2000.0
A43,A43,2000.0
A38,A38,2000.0
A89,A89,2000.0
64_108,64_108,2000.0
64_108,A64,2000.0
A77,A77,2000.0
A62,A62,2000.0
98_101,A98,2000.0
98_101,98_101,2000.0
A80,80_106,2000.0
A80,A80,2000.0
A92,A92,2000.0
A57,A57,2000.0
A8,A8,2000.0
A64,64_108,2000.0
A64,A64,2000.0
A74,A74,2000.0
A34,A34,2000.0
A87,A87,2000.0
A30,A30,2000.0
41_109,A41,2000.0
41_109,41_109,2000.0
