from , to, time
A23,A23,16000.0
A76,A76,16000.0
A76,113_176,16000.0
A76,108_113,16000.0
15_149,15_149,16000.0
15_149,A15,16000.0
56_112,56_112,16000.0
56_112,112_120,16000.0
A21,A21,16000.0
158_174,158_174,16000.0
158_174,31_158,16000.0
A55,A55,16000.0
A85,A85,16000.0
A85,85_150,16000.0
19_170,19_170,16000.0
19_170,A19,16000.0
A44,A44,16000.0
A30,A30,16000.0
A30,135_147,16000.0
A30,30_135,16000.0
A63,A63,16000.0
A63,63_152,16000.0
A26,A26,16000.0
34_116,34_116,16000.0
14_126,14_126,16000.0
14_126,126_177,16000.0
14_126,A14,16000.0
45_154,45_154,16000.0
113_176,A76,16000.0
113_176,113_176,16000.0
113_176,108_113,16000.0
139_148,139_148,16000.0
139_148,148_164,16000.0
139_148,164_172,16000.0
126_177,14_126,16000.0
126_177,126_177,16000.0
126_177,A14,16000.0
59_167,59_167,16000.0
59_167,167_178,16000.0
59_167,A59,16000.0
A61,A61,16000.0
A61,61_155,16000.0
129_140,129_140,16000.0
45_142,45_142,16000.0
A80,A80,16000.0
A80,80_173,16000.0
24_114,24_114,16000.0
49_117,49_117,16000.0
49_117,117_139,16000.0
49_117,139_159,16000.0
104_122,104_122,16000.0
104_122,A11,16000.0
167_178,59_167,16000.0
167_178,167_178,16000.0
167_178,A59,16000.0
A88,A88,16000.0
A92,A92,16000.0
84_110,84_110,16000.0
84_110,A84,16000.0
A33,A33,16000.0
A29,A29,16000.0
A12,A12,16000.0
A54,A54,16000.0
A54,54_179,16000.0
61_155,A61,16000.0
61_155,61_155,16000.0
A71,A71,16000.0
A71,71_162,16000.0
2_132,2_132,16000.0
135_147,A30,16000.0
135_147,135_147,16000.0
135_147,30_135,16000.0
28_151,28_151,16000.0
28_151,A28,16000.0
28_151,151_161,16000.0
A50,A50,16000.0
30_135,A30,16000.0
30_135,135_147,16000.0
30_135,30_135,16000.0
A37,A37,16000.0
A37,37_175,16000.0
155_168,155_168,16000.0
69_165,69_165,16000.0
A56,A56,16000.0
A41,A41,16000.0
A48,A48,16000.0
A19,19_170,16000.0
A19,A19,16000.0
A25,A25,16000.0
99_102,99_102,16000.0
A84,84_110,16000.0
A84,A84,16000.0
31_158,158_174,16000.0
31_158,31_158,16000.0
A15,15_149,16000.0
A15,A15,16000.0
96_156,96_156,16000.0
96_156,A96,16000.0
112_120,56_112,16000.0
112_120,112_120,16000.0
A38,A38,16000.0
A38,38_124,16000.0
A4,A4,16000.0
A9,A9,16000.0
81_166,81_166,16000.0
81_166,A81,16000.0
108_113,A76,16000.0
108_113,113_176,16000.0
108_113,108_113,16000.0
117_139,49_117,16000.0
117_139,117_139,16000.0
117_139,139_159,16000.0
A28,28_151,16000.0
A28,A28,16000.0
A28,151_161,16000.0
A5,A5,16000.0
A5,5_171,16000.0
A87,A87,16000.0
16_134,16_134,16000.0
117_141,117_141,16000.0
121_130,121_130,16000.0
121_130,34_121,16000.0
A11,104_122,16000.0
A11,A11,16000.0
A96,96_156,16000.0
A96,A96,16000.0
104_160,104_160,16000.0
148_164,139_148,16000.0
148_164,148_164,16000.0
148_164,164_172,16000.0
94_106,94_106,16000.0
A20,A20,16000.0
37_175,A37,16000.0
37_175,37_175,16000.0
94_157,94_157,16000.0
94_157,A94,16000.0
A59,59_167,16000.0
A59,167_178,16000.0
A59,A59,16000.0
A14,14_126,16000.0
A14,126_177,16000.0
A14,A14,16000.0
A94,94_157,16000.0
A94,A94,16000.0
80_173,A80,16000.0
80_173,80_173,16000.0
122_137,122_137,16000.0
139_159,49_117,16000.0
139_159,117_139,16000.0
139_159,139_159,16000.0
A51,A51,16000.0
149_163,149_163,16000.0
71_162,A71,16000.0
71_162,71_162,16000.0
38_124,A38,16000.0
38_124,38_124,16000.0
11_118,11_118,16000.0
11_118,118_153,16000.0
A78,A78,16000.0
5_171,A5,16000.0
5_171,5_171,16000.0
A6,A6,16000.0
115_123,115_123,16000.0
A81,81_166,16000.0
A81,A81,16000.0
118_153,11_118,16000.0
118_153,118_153,16000.0
34_121,121_130,16000.0
34_121,34_121,16000.0
63_152,A63,16000.0
63_152,63_152,16000.0
18_109,18_109,16000.0
85_150,A85,16000.0
85_150,85_150,16000.0
151_161,28_151,16000.0
151_161,A28,16000.0
151_161,151_161,16000.0
164_172,139_148,16000.0
164_172,148_164,16000.0
164_172,164_172,16000.0
54_179,A54,16000.0
54_179,54_179,16000.0
