from , to, time
A89,A89,25000.0
A78,A78,25000.0
128_139,128_139,25000.0
107_143,107_143,25000.0
107_143,18_107,25000.0
110_125,110_125,25000.0
110_125,125_147,25000.0
A52,A52,25000.0
55_146,55_146,25000.0
55_146,A55,25000.0
A7,A7,25000.0
81_132,81_132,25000.0
A87,A87,25000.0
A5,A5,25000.0
A96,A96,25000.0
A42,A42,25000.0
A90,A90,25000.0
A79,A79,25000.0
A57,A57,25000.0
88_135,88_135,25000.0
25_105,25_105,25000.0
111_145,111_145,25000.0
111_145,13_111,25000.0
A43,A43,25000.0
63_140,63_140,25000.0
63_140,A63,25000.0
76_129,76_129,25000.0
A4,A4,25000.0
88_108,88_108,25000.0
A39,A39,25000.0
99_101,99_101,25000.0
A88,A88,25000.0
A48,A48,25000.0
A32,A32,25000.0
99_130,99_130,25000.0
A82,A82,25000.0
A35,A35,25000.0
A41,A41,25000.0
76_118,76_118,25000.0
137_144,137_144,25000.0
137_144,37_137,25000.0
99_142,99_142,25000.0
99_142,A99,25000.0
107_133,107_133,25000.0
A2,A2,25000.0
69_141,69_141,25000.0
69_141,A69,25000.0
A68,A68,25000.0
A49,A49,25000.0
125_147,110_125,25000.0
125_147,125_147,25000.0
A13,A13,25000.0
A44,A44,25000.0
A61,A61,25000.0
101_121,101_121,25000.0
A92,A92,25000.0
A26,A26,25000.0
37_137,137_144,25000.0
37_137,37_137,25000.0
A47,A47,25000.0
A37,A37,25000.0
102_110,102_110,25000.0
A62,A62,25000.0
49_117,49_117,25000.0
A31,A31,25000.0
53_102,53_102,25000.0
A40,A40,25000.0
A40,40_148,25000.0
A34,A34,25000.0
A25,A25,25000.0
A50,A50,25000.0
85_127,85_127,25000.0
A55,55_146,25000.0
A55,A55,25000.0
A80,A80,25000.0
108_115,108_115,25000.0
A85,A85,25000.0
A85,85_149,25000.0
A70,A70,25000.0
59_120,59_120,25000.0
40_148,A40,25000.0
40_148,40_148,25000.0
A75,A75,25000.0
A28,A28,25000.0
A45,A45,25000.0
1_138,1_138,25000.0
A36,A36,25000.0
A76,A76,25000.0
A16,A16,25000.0
A15,A15,25000.0
102_131,102_131,25000.0
A59,A59,25000.0
A99,99_142,25000.0
A99,A99,25000.0
A69,69_141,25000.0
A69,A69,25000.0
10_123,10_123,25000.0
A12,A12,25000.0
75_122,75_122,25000.0
6_112,6_112,25000.0
51_103,51_103,25000.0
A81,A81,25000.0
13_111,111_145,25000.0
13_111,13_111,25000.0
18_107,107_143,25000.0
18_107,18_107,25000.0
A63,63_140,25000.0
A63,A63,25000.0
A6,A6,25000.0
A17,A17,25000.0
A3,A3,25000.0
48_136,48_136,25000.0
25_119,25_119,25000.0
79_126,79_126,25000.0
A19,A19,25000.0
56_104,56_104,25000.0
A56,A56,25000.0
A72,A72,25000.0
85_149,A85,25000.0
85_149,85_149,25000.0
