from , to, time
54_178,54_178,50000.0
170_305,170_305,50000.0
292_319,292_319,50000.0
294_334,294_334,50000.0
20_197,20_197,50000.0
110_147,110_147,50000.0
A32,A32,50000.0
274_347,274_347,50000.0
274_347,91_274,50000.0
20_314,20_314,50000.0
255_320,255_320,50000.0
225_299,225_299,50000.0
182_251,182_251,50000.0
38_195,38_195,50000.0
38_195,262_275,50000.0
38_195,195_262,50000.0
302_340,302_340,50000.0
302_340,99_302,50000.0
312_342,312_342,50000.0
312_342,270_312,50000.0
55_208,55_208,50000.0
55_208,208_330,50000.0
237_267,237_267,50000.0
146_170,146_170,50000.0
263_281,263_281,50000.0
263_281,281_316,50000.0
263_281,281_346,50000.0
126_232,126_232,50000.0
91_274,274_347,50000.0
91_274,91_274,50000.0
179_306,179_306,50000.0
80_258,80_258,50000.0
80_258,258_345,50000.0
80_258,258_317,50000.0
59_180,59_180,50000.0
234_289,234_289,50000.0
234_289,289_343,50000.0
130_328,130_328,50000.0
225_248,225_248,50000.0
44_189,44_189,50000.0
44_189,189_349,50000.0
A47,A47,50000.0
278_338,278_338,50000.0
278_338,58_278,50000.0
239_264,239_264,50000.0
154_249,154_249,50000.0
288_344,288_344,50000.0
288_344,97_288,50000.0
271_315,271_315,50000.0
271_315,170_271,50000.0
43_151,43_151,50000.0
289_343,234_289,50000.0
289_343,289_343,50000.0
247_332,247_332,50000.0
247_332,A68,50000.0
130_311,130_311,50000.0
130_311,86_130,50000.0
235_297,235_297,50000.0
235_297,207_235,50000.0
7_220,7_220,50000.0
7_220,220_348,50000.0
209_236,209_236,50000.0
A68,247_332,50000.0
A68,A68,50000.0
170_271,271_315,50000.0
170_271,170_271,50000.0
145_321,145_321,50000.0
96_227,96_227,50000.0
281_316,263_281,50000.0
281_316,281_316,50000.0
281_316,281_346,50000.0
281_327,281_327,50000.0
A89,A89,50000.0
271_303,271_303,50000.0
17_322,17_322,50000.0
256_277,256_277,50000.0
175_259,175_259,50000.0
239_286,239_286,50000.0
180_336,180_336,50000.0
201_270,201_270,50000.0
112_326,112_326,50000.0
168_230,168_230,50000.0
300_318,300_318,50000.0
300_318,51_300,50000.0
58_278,278_338,50000.0
58_278,58_278,50000.0
216_337,216_337,50000.0
216_337,196_216,50000.0
262_275,38_195,50000.0
262_275,262_275,50000.0
262_275,195_262,50000.0
51_300,300_318,50000.0
51_300,51_300,50000.0
A17,A17,50000.0
132_175,132_175,50000.0
132_175,175_323,50000.0
A20,A20,50000.0
97_288,288_344,50000.0
97_288,97_288,50000.0
250_263,250_263,50000.0
207_235,235_297,50000.0
207_235,207_235,50000.0
90_243,90_243,50000.0
130_268,130_268,50000.0
99_302,302_340,50000.0
99_302,99_302,50000.0
215_257,215_257,50000.0
242_252,242_252,50000.0
175_323,132_175,50000.0
175_323,175_323,50000.0
271_331,271_331,50000.0
A30,A30,50000.0
200_324,200_324,50000.0
264_283,264_283,50000.0
225_255,225_255,50000.0
297_308,297_308,50000.0
220_348,7_220,50000.0
220_348,220_348,50000.0
97_293,97_293,50000.0
86_130,130_311,50000.0
86_130,86_130,50000.0
280_292,280_292,50000.0
270_312,312_342,50000.0
270_312,270_312,50000.0
196_216,216_337,50000.0
196_216,196_216,50000.0
258_345,80_258,50000.0
258_345,258_345,50000.0
258_345,258_317,50000.0
195_262,38_195,50000.0
195_262,262_275,50000.0
195_262,195_262,50000.0
258_317,80_258,50000.0
258_317,258_345,50000.0
258_317,258_317,50000.0
318_329,318_329,50000.0
167_200,167_200,50000.0
167_200,200_341,50000.0
179_339,179_339,50000.0
281_346,263_281,50000.0
281_346,281_316,50000.0
281_346,281_346,50000.0
91_282,91_282,50000.0
251_296,251_296,50000.0
112_335,112_335,50000.0
208_330,55_208,50000.0
208_330,208_330,50000.0
200_341,167_200,50000.0
200_341,200_341,50000.0
314_333,314_333,50000.0
189_349,44_189,50000.0
189_349,189_349,50000.0
