from , to, weight, time
56_104,A56,-0.9571202218704494,15000.0
19_114,A19,-0.9302758856765473,15000.0
A49,49_117,-0.9556061827736146,15000.0
88_108,108_115,-0.9057580133659531,15000.0
A19,19_114,-0.9316652269968497,15000.0
A13,13_111,-0.9230063524274174,15000.0
A88,88_108,-0.9355592540314498,15000.0
6_112,A6,-0.9253120936133242,15000.0
99_101,A99,-0.9833825842279295,15000.0
13_100,A13,-0.8770401932003888,15000.0
A25,25_105,-0.837082163238844,15000.0
A25,25_119,-0.9646224188175055,15000.0
87_109,A87,-0.8946137237803463,15000.0
49_117,A49,-0.9502915237933433,15000.0
102_110,53_102,-0.9013157205303669,15000.0
A6,6_112,-0.9265908345561383,15000.0
