from , to, weight, time
A58,58_154,0.9912779495949237,26000.0
A44,44_179,0.9883325899720559,26000.0
A44,44_191,0.9809301605990389,26000.0
A44,44_189,1.0066704122309234,26000.0
175_210,132_175,0.1891000366411264,26000.0
44_179,A44,0.9745637855286107,26000.0
44_179,44_189,-0.17360127232461686,26000.0
A12,132_175,0.9850827967970837,26000.0
A89,139_157,0.9961963620955988,26000.0
A89,89_139,1.0111589750980652,26000.0
95_207,A95,0.9927324088497717,26000.0
196_216,159_196,0.008684446129147764,26000.0
169_186,62_169,0.9974261809886382,26000.0
128_209,88_128,0.27658707185352727,26000.0
128_209,118_123,-0.08372658057036336,26000.0
A59,59_180,0.9909746877780571,26000.0
105_205,40_105,0.9970892293290938,26000.0
59_180,A59,0.9958219684259152,26000.0
139_157,A89,0.9727331324282905,26000.0
139_157,89_139,0.9388440919348635,26000.0
168_172,117_168,1.0073101782156646,26000.0
168_172,168_193,0.9864779271113301,26000.0
167_192,167_219,-0.8715707299181105,26000.0
167_192,192_215,-0.009353620735723663,26000.0
62_169,169_186,0.9954670501150826,26000.0
A38,38_195,0.9977578967741392,26000.0
A27,27_201,0.9913650569174908,26000.0
58_154,A58,0.9927911657599798,26000.0
132_175,175_210,0.0566367991597529,26000.0
132_175,A12,0.5656289797454352,26000.0
132_175,175_183,0.9412573161991131,26000.0
117_168,168_172,0.9899127075800397,26000.0
117_168,A73,0.9729295072603578,26000.0
117_168,168_193,0.9775176823059314,26000.0
117_168,73_162,0.07799887432629778,26000.0
159_196,196_216,0.10259629944760783,26000.0
110_147,1_110,0.9927840393414461,26000.0
A32,32_136,1.003378095695801,26000.0
A32,32_152,0.9810409808378415,26000.0
A32,32_206,0.023163279315869433,26000.0
44_191,A44,0.32892671421567937,26000.0
44_191,44_189,0.16252340431619589,26000.0
126_187,41_126,0.990946996633711,26000.0
1_110,110_147,0.9964798863374865,26000.0
32_136,A32,1.0110686385760126,26000.0
32_136,32_152,0.8926629563279117,26000.0
A55,55_208,0.9964346599717645,26000.0
A73,117_168,0.9513597014045655,26000.0
A73,73_162,0.9944774105500241,26000.0
32_152,A32,0.9768238082214508,26000.0
32_152,32_136,0.2870886244652444,26000.0
32_152,32_206,-0.7310270549858382,26000.0
134_198,134_211,-0.8502012494612712,26000.0
40_105,105_205,0.995543465612253,26000.0
A95,95_207,0.9887081672918115,26000.0
41_126,126_187,0.9915886144397782,26000.0
41_126,126_141,0.9965104076400386,26000.0
41_126,126_217,0.8004701839902905,26000.0
89_139,A89,0.9919923525954243,26000.0
89_139,139_157,0.9678773223365499,26000.0
A20,20_197,0.9988936508877684,26000.0
168_193,168_172,1.0092723153014727,26000.0
168_193,117_168,0.999,26000.0
126_141,41_126,0.9868293974825547,26000.0
126_217,126_187,-0.40673912386538064,26000.0
126_217,41_126,0.9749216524019686,26000.0
126_217,126_141,-0.8625418694666382,26000.0
32_206,A32,0.46022649923545605,26000.0
A54,54_178,0.9886936529536232,26000.0
44_189,A44,1.006292948487455,26000.0
44_189,44_191,-0.010177369311510634,26000.0
27_201,A27,0.9969443705785598,26000.0
167_200,167_192,-0.9058383758485063,26000.0
167_200,99_156,-0.480160579527609,26000.0
73_162,117_168,0.9209111741764732,26000.0
73_162,A73,0.9826720147629964,26000.0
134_211,134_198,-0.6744339529693977,26000.0
88_128,128_209,0.034774710746313865,26000.0
88_128,118_123,0.9956096787264153,26000.0
192_215,167_192,0.2826417292930049,26000.0
132_199,A12,-0.036140057396224876,26000.0
175_183,132_175,0.9806758548512963,26000.0
A99,99_156,0.9917385491069871,26000.0
118_123,128_209,-0.019394875749438944,26000.0
118_123,88_128,0.9961632142487352,26000.0
20_197,A20,0.9956926972009615,26000.0
38_195,A38,0.999,26000.0
99_156,167_192,-0.2545811516301521,26000.0
99_156,A99,0.999,26000.0
55_208,A55,0.9910636675190106,26000.0
54_178,A54,0.9964569658323253,26000.0
