from , to, weight, time
166_209,19_158,0.9990007989208951,24000.0
166_209,145_166,0.999,24000.0
166_209,A19,0.9805620664567262,24000.0
53_116,A84,0.004236692026895923,24000.0
53_116,A53,0.9990139879484574,24000.0
53_116,53_107,0.999,24000.0
53_116,107_114,0.999,24000.0
139_156,156_185,0.0018205676673305373,24000.0
12_179,12_184,0.0018205676673305375,24000.0
12_179,A5,0.0014269720519423008,24000.0
12_179,12_105,0.999,24000.0
A51,174_199,0.0014910616402098714,24000.0
A51,174_200,0.0012211202275368867,24000.0
A51,111_174,0.0022225065830840745,24000.0
A51,51_111,0.007341422612462796,24000.0
A51,199_202,0.001221120227536887,24000.0
175_190,68_143,0.9959452123294698,24000.0
175_190,143_154,0.9986390236687713,24000.0
77_153,A29,0.003093329052389008,24000.0
59_176,176_191,0.00149106164020987,24000.0
59_176,A59,0.999,24000.0
177_181,181_201,0.0012211202275368863,24000.0
177_181,A16,0.9933486539171942,24000.0
187_195,A84,0.1386276306452084,24000.0
187_195,84_159,0.9883314499391,24000.0
187_195,159_187,0.9990017966753969,24000.0
110_208,A78,0.9989987957131515,24000.0
110_208,78_110,0.999,24000.0
176_191,59_176,0.999,24000.0
176_191,A59,0.5918588735312125,24000.0
181_201,177_181,0.999,24000.0
181_201,A16,0.9986644674759639,24000.0
174_199,A51,0.9907863936841296,24000.0
174_199,174_200,0.0012211202275368865,24000.0
174_199,111_174,0.999,24000.0
174_199,51_111,0.9977635613056944,24000.0
174_199,199_202,0.0012211202275368865,24000.0
A84,53_116,0.004236692026895923,24000.0
A84,187_195,0.0014910616402098716,24000.0
A84,A53,0.004227421368123687,24000.0
A84,53_107,0.004198057994743396,24000.0
A84,84_159,0.0033122343903486213,24000.0
A84,159_187,0.0018205676673305415,24000.0
A84,107_114,0.004237113901142679,24000.0
1_183,A1,0.999,24000.0
A27,27_172,0.0022227283397888292,24000.0
A27,27_204,0.0012211202275368865,24000.0
19_158,166_209,0.0012211202275368863,24000.0
19_158,145_166,0.0027134842302514285,24000.0
19_158,A19,0.999,24000.0
12_184,12_179,0.998706203137972,24000.0
12_184,A5,0.0011054907885898024,24000.0
12_184,12_105,0.9984061448164561,24000.0
A29,77_153,0.0030331671759520553,24000.0
115_164,0_115,0.999,24000.0
115_164,49_167,0.0018205676673305432,24000.0
A5,12_179,0.0014269720519423008,24000.0
A5,12_184,0.0011054907885898024,24000.0
A5,12_105,0.00861274577204933,24000.0
108_118,118_170,0.002222728339788834,24000.0
87_147,A87,0.9990016969447523,24000.0
A22,A99,0.008901768463520553,24000.0
A22,22_182,0.0018205676673305389,24000.0
A41,41_197,0.0014910616402098694,24000.0
A17,17_169,0.002713484230251429,24000.0
A17,17_198,0.0014910616402098694,24000.0
145_166,166_209,0.0012211202275368863,24000.0
145_166,19_158,0.995216075808005,24000.0
145_166,A19,0.14724006942902637,24000.0
A53,53_116,0.007341422612462831,24000.0
A53,A84,0.004227421368123687,24000.0
A53,53_107,0.00895219541263804,24000.0
A53,84_159,0.003223004141399974,24000.0
A53,107_114,0.007341422612462817,24000.0
68_143,175_190,0.0014910616402098692,24000.0
68_143,143_154,0.003312234390348612,24000.0
53_107,53_116,0.007341422612462817,24000.0
53_107,A84,0.004198057994743396,24000.0
53_107,A53,0.9990139879484574,24000.0
53_107,84_159,0.0032368472536974382,24000.0
53_107,107_114,0.007341422612462821,24000.0
A16,177_181,0.0018187514095843321,24000.0
A16,181_201,0.0012211202275368865,24000.0
156_185,139_156,0.9990032914412431,24000.0
30_186,A30,0.999,24000.0
174_200,A51,0.9835358121865011,24000.0
174_200,174_199,0.9951960358228622,24000.0
174_200,111_174,0.999,24000.0
174_200,51_111,0.9805608911340813,24000.0
174_200,199_202,0.9951960358228622,24000.0
111_174,A51,0.9984074323860266,24000.0
111_174,174_199,0.0014910616402098692,24000.0
111_174,174_200,0.0012211202275368863,24000.0
111_174,51_111,0.999,24000.0
111_174,199_202,0.0012211202275368867,24000.0
A19,166_209,0.0012211202275368865,24000.0
A19,19_158,0.0033122343903486144,24000.0
A19,145_166,0.0026159651395917492,24000.0
135_194,34_135,0.999,24000.0
135_194,A34,0.995340905584335,24000.0
A78,110_208,0.0012211202275368863,24000.0
A78,78_110,0.007341422612462786,24000.0
A24,A11,0.0016384260839732282,24000.0
A24,A87,0.009737668851246842,24000.0
95_146,146_193,0.0014910616402098694,24000.0
95_146,146_205,0.0012211202275368865,24000.0
41_197,A41,0.999,24000.0
17_169,A17,0.999,24000.0
17_169,17_198,0.0014910616402098705,24000.0
54_173,A54,0.999,24000.0
A59,59_176,0.0022227283397888305,24000.0
A59,176_191,0.0014697765918051456,24000.0
A11,A24,0.0016384260839732282,24000.0
84_159,187_195,0.0014910616402098705,24000.0
84_159,A84,0.9990037891994453,24000.0
84_159,A53,0.00362594475413506,24000.0
84_159,53_107,0.004136945079350578,24000.0
84_159,159_187,0.0018205676673305389,24000.0
45_102,102_178,0.002222728339788829,24000.0
45_102,A45,0.9990151693476266,24000.0
51_111,A51,0.999,24000.0
51_111,174_199,0.0014910616402098707,24000.0
51_111,174_200,0.0012211202275368867,24000.0
51_111,111_174,0.0022227283397888314,24000.0
51_111,199_202,0.001221120227536887,24000.0
27_172,A27,0.999,24000.0
27_172,27_204,0.0012211202275368863,24000.0
0_115,115_164,0.002713484230251427,24000.0
0_115,49_167,0.0021604127562648103,24000.0
A30,30_186,0.0018205676673305367,24000.0
146_193,95_146,0.999,24000.0
146_193,146_205,0.0012211202275368867,24000.0
159_187,187_195,0.0014910616402098705,24000.0
159_187,A84,0.8051194181203263,24000.0
159_187,84_159,0.999,24000.0
12_105,12_179,0.002222728339788831,24000.0
12_105,12_184,0.0018205676673305382,24000.0
12_105,A5,0.010068192746017475,24000.0
102_178,45_102,0.999,24000.0
102_178,A45,0.9075344104714407,24000.0
A99,A22,0.008901768463520553,24000.0
A99,49_167,0.002046061243145434,24000.0
A99,22_182,0.001088398422234245,24000.0
143_154,175_190,0.0014910616402098692,24000.0
143_154,68_143,0.999,24000.0
146_205,95_146,0.999,24000.0
146_205,146_193,0.9857871134012055,24000.0
118_170,108_118,0.999,24000.0
78_110,110_208,0.0012211202275368865,24000.0
78_110,A78,0.999,24000.0
199_202,A51,0.9002927050633902,24000.0
199_202,174_199,0.999,24000.0
199_202,174_200,0.9951960358228622,24000.0
199_202,111_174,0.9951960358228622,24000.0
199_202,51_111,0.9175255036276491,24000.0
80_106,106_162,0.002713484230251428,24000.0
49_167,115_164,0.0018205676673305432,24000.0
49_167,0_115,0.0021604127562648103,24000.0
49_167,A99,0.002046061243145434,24000.0
34_135,135_194,0.0014910616402098705,24000.0
34_135,A34,0.999,24000.0
A1,1_183,0.0018205676673305378,24000.0
27_204,A27,0.999,24000.0
27_204,27_172,0.9981646764993904,24000.0
17_198,A17,0.999,24000.0
17_198,17_169,0.9881018169547788,24000.0
A87,87_147,0.004042567658282903,24000.0
A87,A24,0.009737668851246842,24000.0
A54,54_173,0.0022227283397888284,24000.0
107_114,53_116,0.999,24000.0
107_114,A84,0.004237113901142679,24000.0
107_114,A53,0.9990136923775124,24000.0
107_114,53_107,0.999,24000.0
106_162,80_106,0.999,24000.0
A34,135_194,0.0014910616402098703,24000.0
A34,34_135,0.004933139263020572,24000.0
A45,45_102,0.008952195412638003,24000.0
A45,102_178,0.00222272833978883,24000.0
22_182,A22,0.9990000999,24000.0
22_182,A99,0.001088398422234245,24000.0
