from , to, weight, time
11_104,122_137,-0.03655557677931755,12000.0
11_104,104_122,0.9944511767084181,12000.0
11_104,11_118,0.9949293012645125,12000.0
11_104,A11,0.9863542734922747,12000.0
11_104,118_146,-0.033073303137888053,12000.0
A56,56_127,0.9928230322927089,12000.0
A56,56_112,0.9800018306918777,12000.0
49_117,117_141,0.017182097888220154,12000.0
49_117,117_139,0.999,12000.0
49_117,139_148,-0.09687054270271124,12000.0
99_102,A99,0.9897419796506738,12000.0
15_149,A15,0.8378540320264544,12000.0
30_129,30_135,-0.8375043173164259,12000.0
30_129,129_140,0.898495418329551,12000.0
30_129,A30,0.9645304233073483,12000.0
56_127,A56,0.9855364944030828,12000.0
56_112,A56,0.9876223106145747,12000.0
56_112,112_120,0.9934697192204398,12000.0
108_113,76_108,0.9779075586298219,12000.0
108_113,A76,0.9906040452419754,12000.0
76_108,108_113,0.9755240629014911,12000.0
76_108,A76,0.999895472792797,12000.0
112_120,56_112,0.9876224452255652,12000.0
A25,25_133,0.9904009802287367,12000.0
A94,94_106,-0.0024833458484728663,12000.0
117_141,49_117,0.08382799070412444,12000.0
117_141,117_139,-0.19526898116698618,12000.0
117_141,139_148,-0.04778751577846655,12000.0
122_137,11_104,-0.009758994703601462,12000.0
122_137,104_122,0.5029454125068366,12000.0
122_137,11_118,-0.06568715403435729,12000.0
122_137,A11,-0.2255633448857449,12000.0
84_110,A84,0.9941499832047633,12000.0
A38,38_124,0.9981570261059586,12000.0
117_139,49_117,0.9945474184056945,12000.0
117_139,117_141,-0.03631498350238705,12000.0
117_139,139_148,0.13272557620902772,12000.0
25_133,A25,0.9957187602116314,12000.0
45_142,A45,-0.0343694802609609,12000.0
30_135,A30,0.9958266037980749,12000.0
30_135,135_147,-0.01088443141983491,12000.0
A9,9_144,0.15364095940481795,12000.0
24_114,24_107,-0.02603153875594425,12000.0
104_122,11_104,0.9959672137059878,12000.0
104_122,122_137,0.8278699141503004,12000.0
104_122,11_118,1.0008368681179651,12000.0
104_122,A11,0.9898396564989037,12000.0
104_122,118_146,0.0027584968981040265,12000.0
38_124,A38,0.999,12000.0
11_118,11_104,0.9920718847260506,12000.0
11_118,122_137,-0.026447749893738548,12000.0
11_118,104_122,0.993842346589027,12000.0
11_118,A11,0.9801393736009049,12000.0
11_118,118_146,0.032771365171679744,12000.0
A15,15_149,0.33588958837322735,12000.0
A21,21_119,0.9986853887038731,12000.0
A16,16_134,0.9940352016391903,12000.0
121_130,34_121,0.9934241710506286,12000.0
34_116,34_121,0.012816796228514936,12000.0
9_144,A9,0.24972075063686466,12000.0
129_140,30_129,0.1613053771747881,12000.0
21_119,A21,0.999,12000.0
A30,30_129,0.49463455673972645,12000.0
A30,30_135,0.99328748780298,12000.0
A30,135_147,-0.6903306225203252,12000.0
A76,108_113,0.9875877279294829,12000.0
A76,76_108,0.9876735014508157,12000.0
A11,11_104,0.9821484014548054,12000.0
A11,122_137,-0.039531150497838535,12000.0
A11,104_122,0.988838670908198,12000.0
A11,11_118,0.9868369893126354,12000.0
A11,118_146,0.06479016499272404,12000.0
118_146,11_104,0.01636697835657112,12000.0
118_146,104_122,-0.02402849633676353,12000.0
118_146,11_118,0.019895501747097716,12000.0
118_146,A11,0.001119415204512088,12000.0
A45,45_142,0.004773039994431062,12000.0
135_147,30_135,4.4776727219004867E-4,12000.0
135_147,A30,-0.758632019990698,12000.0
A84,84_110,0.998293097082528,12000.0
94_106,A94,1.0050371976652765,12000.0
24_107,24_114,0.008268971342577367,12000.0
34_121,121_130,0.9898325592574961,12000.0
34_121,34_116,0.015669859117565008,12000.0
16_134,A16,0.999,12000.0
139_148,49_117,-0.026462785842702303,12000.0
139_148,117_141,-0.03299094893609459,12000.0
139_148,117_139,0.026711574791645445,12000.0
14_126,A14,0.9960772601214152,12000.0
A14,14_126,0.9852561844233596,12000.0
A99,99_102,0.9904929224267796,12000.0
